Bedrooms,Bedrooms(category),Property Category,Price,Price(with currency),District,Scraped_At
4,4 bedrooms,"4bdrm Bungalow in Mab Global, Gwarinpa for rent",8500000,"₦ 8,500,000",Gwarinpa,2026-05-30 13:26:19
5,5 bedrooms,5bdrm Duplex in Galadimawa for rent,13000000,"₦ 13,000,000",Galadimawa,2026-05-30 13:26:19
4,4 bedrooms,4bdrm Townhouse / Terrace in Jabi for rent,20000000,"₦ 20,000,000",Jabi,2026-05-30 13:26:19
2,2 bedrooms,2bdrm Block of Flats in Wuye for rent,6500000,"₦ 6,500,000",Wuye,2026-05-30 13:26:19
4,4 bedrooms,"4bdrm Duplex in By Aso Radio, Katampe (Main) for rent",15000000,"₦ 15,000,000",Katampe (Main),2026-05-30 13:26:19
5,5 bedrooms,5bdrm Duplex in Maitama for rent,25000000,"₦ 25,000,000",Maitama,2026-05-30 13:26:19
3,3 bedrooms,3bdrm Block of Flats in Jahi for rent,75000000,"₦ 75,000,000",Jahi,2026-05-30 13:26:19
2,2 bedrooms,2bdrm Apartment in Lifecamp for rent,5000000,"₦ 5,000,000",Life Camp,2026-05-30 13:26:19
4,4 bedrooms,"4bdrm Duplex in Qwarimpa, Gwarinpa for rent",15000000,"₦ 15,000,000",Gwarinpa,2026-05-30 13:26:19
4,4 bedrooms,"4bdrm Duplex in River Park, FHA for rent",9000000,"₦ 9,000,000",FHA,2026-05-30 13:26:19
2,2 bedrooms,"2bdrm Block of Flats in Dera Estate, Dawaki for rent",4500000,"₦ 4,500,000",Dawaki,2026-05-30 13:26:19
3,3 bedrooms,"3bdrm Apartment in Gowan Street, Durumi for rent",4000000,"₦ 4,000,000",Durumi,2026-05-30 13:26:19
2,2 bedrooms,"Furnished 2bdrm Apartment in City Homes, Lokogoma for rent",3000000,"₦ 3,000,000",Lokogoma,2026-05-30 13:26:19
3,3 bedrooms,3bdrm Townhouse / Terrace in Jahi for rent,10000000,"₦ 10,000,000",Jahi,2026-05-30 13:26:19
5,5 bedrooms,5bdrm Duplex in Galadimawa for rent,13000000,"₦ 13,000,000",Galadimawa,2026-05-30 13:26:28
1,1 bedroom,1bdrm Block of Flats in Dawaki for rent,2800000,"₦ 2,800,000",Dawaki,2026-05-30 13:26:28
4,4 bedrooms,"4bdrm Duplex in By Aso Radio, Katampe (Main) for rent",15000000,"₦ 15,000,000",Katampe (Main),2026-05-30 13:26:28
4,4 bedrooms,"Furnished 4bdrm Duplex in Levi Estate, Galadimawa for rent",8000000,"₦ 8,000,000",Galadimawa,2026-05-30 13:26:28
5,5 bedrooms,5bdrm Duplex in Mabushi Close To for rent,200000000,"₦ 200,000,000",Mabushi,2026-05-30 13:26:28
5,5 bedrooms,5bdrm Duplex in Maitama for rent,25000000,"₦ 25,000,000",Maitama,2026-05-30 13:26:28
4,4 bedrooms,"4bdrm Duplex in Qwarimpa, Gwarinpa for rent",15000000,"₦ 15,000,000",Gwarinpa,2026-05-30 13:26:28
4,4 bedrooms,"4bdrm Duplex in River Park, FHA for rent",9000000,"₦ 9,000,000",FHA,2026-05-30 13:26:28
2,2 bedrooms,2bdrm Apartment in Lifecamp for rent,5000000,"₦ 5,000,000",Life Camp,2026-05-30 13:26:28
1,1 bedroom,"Furnished 1bdrm Apartment in Legislative Quarters, Zone B for rent",1950000,"₦ 1,950,000",Zone B,2026-05-30 13:26:28
3,3 bedrooms,"3bdrm Apartment in Gowan Street, Durumi for rent",4000000,"₦ 4,000,000",Durumi,2026-05-30 13:26:28
2,2 bedrooms,"Furnished 2bdrm Apartment in City Homes, Lokogoma for rent",3000000,"₦ 3,000,000",Lokogoma,2026-05-30 13:26:28
2,2 bedrooms,"2bdrm Block of Flats in Gwarimpa, Gwarinpa for rent",5000000,"₦ 5,000,000",Gwarinpa,2026-05-30 13:26:28
5,5 bedrooms,Furnished 5bdrm Duplex in Guzape District for rent,30000000,"₦ 30,000,000",Guzape District,2026-05-30 13:26:28
5,5 bedrooms,5bdrm Duplex in Mabushi for rent,30000000,"₦ 30,000,000",Mabushi,2026-05-30 13:26:28
2,2 bedrooms,2bdrm Apartment in Mabushi for rent,8000000,"₦ 8,000,000",Mabushi,2026-05-30 13:26:28
2,2 bedrooms,"Furnished 2bdrm Apartment in Bristol Apartments, Life Camp for rent",9000000,"₦ 9,000,000",Life Camp,2026-05-30 13:26:28
2,2 bedrooms,2bdrm Apartment in Jahi for rent,8000000000,"₦ 8,000,000,000",Jahi,2026-05-30 13:26:28
1,1 bedroom,"1bdrm Apartment in Queen Street, Galadimawa for rent",1100000,"₦ 1,100,000",Galadimawa,2026-05-30 13:26:28
2,2 bedrooms,"2bdrm Bungalow in Dantata Estate, Gwarinpa for rent",4200000,"₦ 4,200,000",Gwarinpa,2026-05-30 13:26:28
7,7 bedrooms,7bdrm Duplex in Asokoro for rent,180000000,"₦ 180,000,000",Asokoro,2026-05-30 13:26:28
2,2 bedrooms,"2bdrm Block of Flats in Pyramid Estate, Sabon Lugbe for rent",4000000,"₦ 4,000,000",Sabon Lugbe,2026-05-30 13:26:28
4,4 bedrooms,"4bdrm Townhouse / Terrace in Estate, Karmo for rent",6000000,"₦ 6,000,000",Karmo,2026-05-30 13:26:28
5,5 bedrooms,Furnished 5bdrm Duplex in Guzape District for rent,25000000,"₦ 25,000,000",Guzape District,2026-05-30 13:26:28
4,4 bedrooms,"4bdrm Duplex in 3Rd Avenue Gwarimpa, Gwarinpa for rent",20000000,"₦ 20,000,000",Gwarinpa,2026-05-30 13:26:35
3,3 bedrooms,3bdrm Block of Flats in Gaduwa for rent,6000000,"₦ 6,000,000",Gaduwa,2026-05-30 13:26:35
5,5 bedrooms,Furnished 5bdrm Duplex in Jahi for rent,30000000,"₦ 30,000,000",Jahi,2026-05-30 13:26:35
1,1 bedroom,"Furnished 1bdrm Bedsitter in Riverpark Estate, Lugbe District for rent",3700000,"₦ 3,700,000",Lugbe District,2026-05-30 13:26:35
1,1 bedroom,"Furnished Studio Apartment in Freedom Avenue, Dutse-Alhaji for rent",700000,"₦ 700,000",Dutse-Alhaji,2026-05-30 13:26:35
