Property Category,Price (Per Annum),Location,Scraped_At
4 bedroom terraced duplex for rent,"₦8,000,000","News Engineering, Dawaki, Gwarinpa, Abuja",2026-06-01 11:07:46
1 bedroom mini flat (room and parlour) for rent,"₦1,500,000","Katampe Extension, Katampe, Abuja",2026-06-01 11:07:46
Self contain (single rooms) for rent,"₦5,000,000","Parakou Crescent, Wuse 2, Abuja",2026-06-01 11:07:46
1 bedroom flat / apartment for rent,"₦2,200,000","Garki 2, Garki, Abuja",2026-06-01 11:07:46
1 bedroom flat / apartment for rent,"₦4,000,000","Katampe Main, Katampe, Abuja",2026-06-01 11:07:46
1 bedroom mini flat (room and parlour) for rent,"₦3,500,000","Apo Dutse By Shoprite Axis ,cedar Crest Hospital, Apo, Abuja",2026-06-01 11:07:46
1 bedroom mini flat (room and parlour) for rent,"₦3,500,000","Northstar Estate, Dakwo, Abuja",2026-06-01 11:07:46
4 bedroom terraced duplex for rent,"₦15,000,000","Kado, Abuja",2026-06-01 11:07:46
3 bedroom detached bungalow for rent,"₦5,500,000","Galadimawa, Abuja",2026-06-01 11:07:46
4 bedroom terraced duplex for rent,"₦12,000,000","Apo, Abuja",2026-06-01 11:07:46
4 bedroom terraced duplex for rent,"₦8,000,000","Turkish Hospital Nzamiye, Idu Industrial, Abuja",2026-06-01 11:07:46
1 bedroom flat / apartment for rent,"₦1,500,000","By Corner Shop, FHA (F.H.A), Lugbe District, Abuja",2026-06-01 11:07:46
4 bedroom house for rent,"$150,000","Wuse 2, Abuja",2026-06-01 11:07:46
Conference / meeting / training room for rent,"₦200,000","Kumasi Crescent, Wuse 2, Abuja",2026-06-01 11:07:55
3 bedroom house for rent,"$45,000","Wuse 2, Abuja",2026-06-01 11:07:55
2 bedroom house for rent,"$35,000","Wuse 2, Abuja",2026-06-01 11:07:55
4 bedroom terraced duplex for rent,"₦35,000,000","Maitama District, Abuja",2026-06-01 11:07:55
4 bedroom terraced duplex for rent,"₦13,000,000","Guzape Main, Guzape District, Abuja",2026-06-01 11:07:55
4 bedroom terraced duplex for rent,"₦16,000,000","Guzape District, Abuja",2026-06-01 11:07:55
7 bedroom detached duplex for rent,"₦90,000,000","Asokoro District, Abuja",2026-06-01 11:07:55
Self contain (single rooms) for rent,"₦3,000,000","Garki 2, Garki, Abuja",2026-06-01 11:07:55
4 bedroom detached duplex for rent,"₦25,000,000","Jabi, Abuja",2026-06-01 11:07:55
1 bedroom flat / apartment for rent,"₦5,000,000","Garki 2, Garki, Abuja",2026-06-01 11:07:55
5 bedroom terraced duplex for rent,"₦10,000,000","By Aduvie, Jahi, Abuja",2026-06-01 11:07:55
2 bedroom semi-detached bungalow for rent,"₦1,800,000","FHA (F.H.A), Lugbe District, Abuja",2026-06-01 11:07:55
Office space for rent,"₦17,500,000","Mabushi, Abuja",2026-06-01 11:07:55
1 bedroom mini flat (room and parlour) for rent,"₦5,000,000","Close To Police Station, Wuye, Abuja",2026-06-01 11:07:55
3 bedroom flat / apartment for rent,"₦7,000,000","Diplomatic Zone (video Of The Apartment Is Attached), Katampe Extension, Katampe, Abuja",2026-06-01 11:07:55
2 bedroom flat / apartment for rent,"₦5,500,000","Katampe (Main), Katampe, Abuja",2026-06-01 11:07:55
Self contain (single rooms) for rent,"₦1,800,000","Estate By The Express, Lokogoma District, Abuja",2026-06-01 11:07:55
1 bedroom flat / apartment for rent,"₦2,500,000","Galadimawa, Abuja",2026-06-01 11:07:55
Self contain (single rooms) for rent,"₦1,200,000","Kaura, Abuja",2026-06-01 11:07:55
2 bedroom flat / apartment for rent,"₦2,500,000","Phase 4, Close To Gtbank, Kubwa, Abuja",2026-06-01 11:07:55
4 bedroom detached duplex for rent,"₦14,000,000","By Nizamiye Hospital, Karmo, Abuja",2026-06-01 11:07:55
Conference / meeting / training room for rent,"₦200,000","Kumasi Crescent, Wuse 2, Abuja",2026-06-01 11:08:04
3 bedroom flat / apartment for rent,"₦30,000,000","Shoprite Axis, Jabi, Abuja",2026-06-01 11:08:04
3 bedroom terraced duplex for rent,"₦18,000,000","Barumak Estate, Wuye, Abuja",2026-06-01 11:08:04
4 bedroom flat / apartment for rent,"₦12,000,000","Mabushi, Abuja",2026-06-01 11:08:04
6 bedroom detached duplex for rent,"₦35,000,000","Katampe Extension, Katampe, Abuja",2026-06-01 11:08:04
3 bedroom flat / apartment for rent,"₦10,000,000","Wuse 2, Abuja",2026-06-01 11:08:04
Shop for rent,"₦7,000,000","Maitama District, Abuja",2026-06-01 11:08:04
