Property Category,Price (Per Annum),Location,Scraped_At
3 bedroom flat / apartment for rent,"₦4,000,000","Gwarinpa, Abuja",2026-06-01 11:13:23
4 bedroom terraced duplex for rent,"₦20,000,000","Mabushi, Abuja",2026-06-01 11:13:23
4 bedroom terraced duplex for rent,"₦9,000,000","First Avenue, Gwarinpa, Abuja",2026-06-01 11:13:23
2 bedroom flat / apartment for rent,"₦4,500,000","Area 2, Garki, Abuja, Garki, Abuja",2026-06-01 11:13:23
3 bedroom flat / apartment for rent,"₦6,500,000","Lokogoma District, Abuja",2026-06-01 11:13:23
3 bedroom flat / apartment for rent,"₦12,000,000","Guzape District, Abuja",2026-06-01 11:13:23
4 bedroom terraced duplex for rent,"₦18,000,000","Katampe Extension, Katampe, Abuja",2026-06-01 11:13:23
3 bedroom terraced duplex for rent,"₦15,000,000","Kado, Abuja",2026-06-01 11:13:23
2 bedroom flat / apartment for rent,"₦6,000,000","Living Faith, Jahi, Abuja",2026-06-01 11:13:23
3 bedroom flat / apartment for rent,"₦8,000,000","Zone 3, Wuse, Abuja",2026-06-01 11:13:23
4 bedroom terraced duplex for rent,"₦15,000,000","Ameyo Adadevoh Way, Gilmore, Jahi, Abuja",2026-06-01 11:13:23
4 bedroom detached duplex for rent,"₦20,000,000","Mabushi, Abuja",2026-06-01 11:13:23
Self contain (single rooms) for rent,"₦1,400,000","4th Avenue, Gwarinpa, Abuja",2026-06-01 11:13:23
4 bedroom terraced duplex for rent,"₦11,000,000","Lifecamp, Life Camp, Abuja",2026-06-01 11:13:23
4 bedroom semi-detached duplex for rent,"₦15,000,000","Old Gwarimpa Road, Kado, Abuja",2026-06-01 11:13:23
1 bedroom flat / apartment for rent,"₦6,000,000","Maitama District, Abuja",2026-06-01 11:13:32
3 bedroom flat / apartment for rent,"₦7,000,000","Close To Stella Maris, Life Camp, Abuja",2026-06-01 11:13:32
2 bedroom flat / apartment for rent,"₦5,500,000","Main F01, FO1 Layout, Kubwa, Abuja",2026-06-01 11:13:32
4 bedroom detached bungalow for rent,"₦2,000,000","Cajaah Estate, Orozo, Abuja",2026-06-01 11:13:32
Self contain (single rooms) for rent,"₦800,000","Lokogoma District, Abuja",2026-06-01 11:13:32
3 bedroom detached bungalow for rent,"₦4,000,000","Lugbe District, Abuja",2026-06-01 11:13:32
4 bedroom terraced duplex for rent,"₦20,000,000","Jabi, Abuja",2026-06-01 11:13:32
3 bedroom terraced duplex for rent,"₦12,000,000","Apo, Abuja",2026-06-01 11:13:32
2 bedroom flat / apartment for rent,"₦5,000,000","Off Nicholas Agha Crescent, Life Camp, Abuja",2026-06-01 11:13:32
3 bedroom semi-detached duplex for rent,"₦7,500,000","Sun City Estate, Lokogoma District, Abuja",2026-06-01 11:13:32
1 bedroom mini flat (room and parlour) for rent,"₦6,000,000","Off 3rd Avenue, Dantata Estate, Gwarinpa, Abuja",2026-06-01 11:13:32
3 bedroom flat / apartment for rent,"₦6,000,000","Maitama, Maitama District, Abuja",2026-06-01 11:13:32
2 bedroom terraced duplex for rent,"₦7,000,000","Naf Estate., Asokoro District, Abuja",2026-06-01 11:13:32
3 bedroom terraced duplex for rent,"₦12,000,000","Apo, Apo, Abuja",2026-06-01 11:13:32
Shop for rent,"₦6,000,000","Wuye, Abuja",2026-06-01 11:13:32
Office space for rent,"₦20,000,000","Wuse, Abuja",2026-06-01 11:13:32
4 bedroom terraced duplex for rent,"₦13,500,000","By Living Faith Church, Katampe (Main), Katampe, Abuja",2026-06-01 11:13:32
Plaza / complex / mall for rent,"₦170,000,000","Maitama District, Abuja",2026-06-01 11:13:32
4 bedroom detached duplex for rent,"₦35,000,000","Asokoro District, Abuja",2026-06-01 11:13:32
3 bedroom terraced duplex for rent,"₦14,000,000","Naf Valley Estate, Asokoro District, Abuja",2026-06-01 11:13:32
Office space for rent,"₦150,000,000","T.y Danjuma Street, Asokoro District, Abuja",2026-06-01 11:13:32
1 bedroom flat / apartment for rent,"₦6,000,000","Maitama District, Abuja",2026-06-01 11:13:38
3 bedroom terraced duplex for rent,"₦10,000,000","By Living Faith Church, Jahi, Abuja",2026-06-01 11:13:38
Shop for rent,"₦5,000,000","Wuse 2, Abuja",2026-06-01 11:13:38
4 bedroom terraced duplex for rent,"₦13,500,000","Dutse, Opposite Cedar Crest Hospital, Apo, Abuja",2026-06-01 11:13:38
1 bedroom semi-detached bungalow for rent,"₦3,000,000","Copa Cabana Estate Wumba, Wumba, Abuja",2026-06-01 11:13:38
3 bedroom flat / apartment for rent,"₦6,000,000","Galadimawa, Abuja",2026-06-01 11:13:38
3 bedroom terraced duplex for rent,"₦10,000,000","Gaduwa, Abuja",2026-06-01 11:13:38
3 bedroom terraced duplex for rent,"$35,000","Maitama District, Abuja",2026-06-01 11:13:38
4 bedroom terraced duplex for rent,"₦25,000,000","Katampe Extension, Katampe, Abuja",2026-06-01 11:13:38
4 bedroom detached duplex for rent,"₦17,000,000","Gwarimpa Estate By 6th Avenue,fct Abuja Nigeria, Gwarinpa, Abuja",2026-06-01 11:13:38
3 bedroom house for rent,"₦11,000,000","Wuye Abuja, Wuye, Abuja",2026-06-01 11:13:38
4 bedroom detached duplex for rent,"₦30,000,000","Guzape District, Abuja",2026-06-01 11:13:38
5 bedroom terraced duplex for rent,"₦20,000,000","Gilmor, Jahi, Abuja",2026-06-01 11:13:38
3 bedroom flat / apartment for rent,"₦10,000,000","Life Camp, Abuja",2026-06-01 11:13:38
Plaza / complex / mall for rent,"₦150,000,000","Asokoro District, Abuja",2026-06-01 11:13:38
Commercial property for rent,"₦20,300,000","Wuse 2, Abuja",2026-06-01 11:13:38
3 bedroom house for rent,"₦6,000,000","Garki, Abuja",2026-06-01 11:13:38
4 bedroom detached duplex for rent,"₦35,000,000","Asokoro District, Abuja",2026-06-01 11:13:38
4 bedroom terraced duplex for rent,"₦9,000,000","Durumi, Abuja",2026-06-01 11:13:38
Office space for rent,"₦3,000,000","Mabushi, Abuja",2026-06-01 11:13:38
3 bedroom flat / apartment for rent,"₦8,500,000","Jabi, Abuja",2026-06-01 11:13:38
1 bedroom flat / apartment for rent,"₦9,000,000","Maitama District, Abuja",2026-06-01 11:13:45
Self contain (single rooms) for rent,"₦2,000,000","Gaduwa, Abuja",2026-06-01 11:13:45
Self contain (single rooms) for rent,"₦1,500,000","Lugbe District, Abuja",2026-06-01 11:13:45
2 bedroom flat / apartment for rent,"₦5,000,000","Galadimawa, Abuja",2026-06-01 11:13:45
3 bedroom flat / apartment for rent,"₦4,000,000","Life Camp, Abuja",2026-06-01 11:13:45
2 bedroom flat / apartment for rent,"₦8,000,000","Life Camp, Abuja",2026-06-01 11:13:45
3 bedroom flat / apartment for rent,"₦8,000,000","Jahi, Abuja",2026-06-01 11:13:45
4 bedroom semi-detached duplex for rent,"₦30,000,000","Guzape District, Abuja",2026-06-01 11:13:45
4 bedroom semi-detached duplex for rent,"₦5,000,000","Before Premier Academy, FHA (F.H.A), Lugbe District, Abuja",2026-06-01 11:13:45
5 bedroom terraced duplex for rent,"₦20,000,000","Jahi, Abuja",2026-06-01 11:13:45
5 bedroom semi-detached duplex for rent,"₦50,000,000","Maitama District, Abuja",2026-06-01 11:13:45
3 bedroom flat / apartment for rent,"₦12,500,000","Mabushi, Abuja",2026-06-01 11:13:45
4 bedroom terraced duplex for rent,"₦18,000,000","Jahi, Abuja",2026-06-01 11:13:45
4 bedroom semi-detached duplex for rent,"₦25,000,000","Life Camp, Abuja",2026-06-01 11:13:45
4 bedroom house for rent,"₦23,000,000","Katampe Extension, Katampe, Abuja",2026-06-01 11:13:45
5 bedroom house for rent,"₦25,000,000","Life Camp, Abuja",2026-06-01 11:13:45
4 bedroom detached duplex for rent,"$60,000","Maitama District, Abuja",2026-06-01 11:13:45
4 bedroom detached duplex for rent,"$35,000,000","Jabi, Abuja",2026-06-01 11:13:45
Office space for rent,$200,"Central Business District, Abuja",2026-06-01 11:13:45
2 bedroom flat / apartment for rent,"$55,000","Maitama District, Abuja",2026-06-01 11:13:45
2 bedroom flat / apartment for rent,"$120,000","Central Business District, Abuja",2026-06-01 11:13:45
1 bedroom flat / apartment for rent,"₦6,000,000","Maitama District, Abuja",2026-06-01 11:13:50
1 bedroom mini flat (room and parlour) for rent,"$90,000","Central Business District, Abuja",2026-06-01 11:13:50
3 bedroom flat / apartment for rent,"₦10,000,000","Mabushi, Abuja",2026-06-01 11:13:50
2 bedroom flat / apartment for rent,"₦7,000,000","Katampe Extension, Katampe, Abuja",2026-06-01 11:13:50
Shop for rent,"₦7,000,000","Wuse 2, Abuja",2026-06-01 11:13:50
2 bedroom detached bungalow for rent,"₦4,000,000","A&g Estate Phase2, FHA (F.H.A), Lugbe District, Abuja",2026-06-01 11:13:50
1 bedroom mini flat (room and parlour) for rent,"₦3,500,000","By American Intâl School, Durumi, Abuja",2026-06-01 11:13:50
6 bedroom detached duplex for rent,"₦100,000,000","Asokoro District, Abuja",2026-06-01 11:13:50
3 bedroom flat / apartment for rent,"₦15,000,000","Guzape District, Abuja",2026-06-01 11:13:50
3 bedroom flat / apartment for rent,"₦6,500,000","By Gtbank, Durumi, Abuja",2026-06-01 11:13:50
3 bedroom flat / apartment for rent,"₦11,000,000","Wuye, Abuja",2026-06-01 11:13:50
Self contain (single rooms) for rent,"₦1,300,000","Katampe (Main), Katampe, Abuja",2026-06-01 11:13:50
1 bedroom mini flat (room and parlour) for rent,"₦2,500,000","Katampe (Main), Katampe, Abuja",2026-06-01 11:13:50
5 bedroom detached duplex for rent,"₦30,000,000","Katampe Main By Emirates Estate ,fct Abuja Nigeria, Katampe (Main), Katampe, Abuja",2026-06-01 11:13:50
4 bedroom detached duplex for rent,"₦15,000,000","Gwarinpa, Abuja",2026-06-01 11:13:50
1 bedroom flat / apartment for rent,"₦7,000,000","Asokoro District, Abuja",2026-06-01 11:13:50
2 bedroom flat / apartment for rent,"₦7,500,000","Mabushi, Abuja",2026-06-01 11:13:50
2 bedroom flat / apartment for rent,"₦4,500,000","By American International School, Durumi, Abuja",2026-06-01 11:13:50
4 bedroom detached duplex for rent,"₦15,000,000","By Cedacrest, Apo, Abuja",2026-06-01 11:13:50
5 bedroom terraced duplex for rent,"₦20,000,000","Jahi, Abuja",2026-06-01 11:13:50
2 bedroom flat / apartment for rent,"₦6,500,000","Jahi District Abuja. Access Road Is Well Tarred., Jahi, Abuja",2026-06-01 11:13:50
Conference / meeting / training room for rent,"₦200,000","Kumasi Crescent, Wuse 2, Abuja",2026-06-01 11:13:59
1 bedroom mini flat (room and parlour) for rent,"₦2,000,000","Lokogoma District, Abuja",2026-06-01 11:13:59
3 bedroom semi-detached duplex for rent,"₦7,500,000","Sun City Estate, Galadimawa, Abuja",2026-06-01 11:13:59
Self contain (single rooms) for rent,"₦3,000,000","Asokoro District, Abuja",2026-06-01 11:13:59
5 bedroom terraced duplex for rent,"₦15,000,000","Naf Valley Estate, Asokoro District, Abuja",2026-06-01 11:13:59
Plaza / complex / mall for rent,"₦400,000,000","Garki, Abuja",2026-06-01 11:13:59
2 bedroom house for rent,"₦12,000,000","Jahi, Abuja",2026-06-01 11:13:59
1 bedroom mini flat (room and parlour) for rent,"₦1,500,000","Arab Road, Kubwa, Abuja",2026-06-01 11:13:59
4 bedroom detached duplex for rent,"₦15,000,000","Apo By Gudu Junction, Close To Cedarcrest Hospital, Apo, Abuja",2026-06-01 11:13:59
3 bedroom flat / apartment for rent,"₦4,500,000","Lugbe District, Abuja",2026-06-01 11:13:59
4 bedroom semi-detached duplex for rent,"₦15,000,000","Stella Maris, Life Camp, Abuja",2026-06-01 11:13:59
4 bedroom terraced duplex for rent,"₦40,000,000","Maitama District, Abuja",2026-06-01 11:13:59
7 bedroom detached duplex for rent,"₦80,000,000","Asokoro District, Abuja",2026-06-01 11:13:59
2 bedroom flat / apartment for rent,"₦6,000,000","Dawaki, Gwarinpa, Abuja",2026-06-01 11:13:59
3 bedroom flat / apartment for rent,"₦50,000,000","Wuse 2, Abuja",2026-06-01 11:13:59
3 bedroom terraced duplex for rent,"$35,000","Maitama District, Abuja",2026-06-01 11:13:59
4 bedroom terraced duplex for rent,"₦18,000,000","Jahi, Abuja",2026-06-01 11:13:59
3 bedroom terraced duplex for rent,"₦10,000,000","Gaduwa, Abuja",2026-06-01 11:13:59
5 bedroom terraced duplex for rent,"₦20,000,000","Jahi, Abuja",2026-06-01 11:13:59
4 bedroom terraced duplex for rent,"₦30,000,000","Naf Valley, Asokoro District, Abuja",2026-06-01 11:13:59
4 bedroom terraced duplex for rent,"₦15,000,000","Katampe Extension, Katampe, Abuja",2026-06-01 11:13:59
1 bedroom flat / apartment for rent,"₦9,000,000","Maitama District, Abuja",2026-06-01 11:14:04
3 bedroom terraced duplex for rent,"₦15,000,000","Gilmore, Jahi, Abuja",2026-06-01 11:14:04
4 bedroom terraced duplex for rent,"₦15,000,000","Guzape, Guzape District, Abuja",2026-06-01 11:14:04
4 bedroom terraced duplex for rent,"₦15,000,000","Mabushi, Abuja",2026-06-01 11:14:04
4 bedroom terraced duplex for rent,"₦20,000,000","Mabushi, Abuja",2026-06-01 11:14:04
3 bedroom flat / apartment for rent,"₦8,000,000","Katampe Behind Urban Shelter, Katampe (Main), Katampe, Abuja",2026-06-01 11:14:04
6 bedroom detached duplex for rent,"₦45,000,000","Wuse 2, Wuse 2, Abuja",2026-06-01 11:14:04
3 bedroom flat / apartment for rent,"₦9,000,000","Near American School, Durumi, Abuja",2026-06-01 11:14:04
2 bedroom flat / apartment for rent,"₦3,000,000","F14 Nepa Road Phase 4, Kubwa, Abuja",2026-06-01 11:14:04
3 bedroom terraced duplex for rent,"₦11,000,000","Jabi, Abuja",2026-06-01 11:14:04
1 bedroom flat / apartment for rent,"₦2,500,000","FO1 Layout, Kubwa, Abuja",2026-06-01 11:14:04
Warehouse for rent,"₦1,500,000","FO1 Layout, Kubwa, Abuja",2026-06-01 11:14:04
Office space for rent,"₦6,000,000","Central Area, Central Business District, Abuja",2026-06-01 11:14:04
4 bedroom semi-detached duplex for rent,"₦80,000,000","Asokoro District, Abuja",2026-06-01 11:14:04
2 bedroom flat / apartment for rent,"$65,000","Asokoro District, Abuja",2026-06-01 11:14:04
4 bedroom house for rent,"₦10,000,000","Gaduwa, Abuja",2026-06-01 11:14:04
2 bedroom flat / apartment for rent,"$37,000","Jabi, Abuja",2026-06-01 11:14:04
2 bedroom flat / apartment for rent,"$16,000","Jabi, Abuja",2026-06-01 11:14:04
3 bedroom flat / apartment for rent,"₦20,000,000","Wuse 2, Abuja",2026-06-01 11:14:04
2 bedroom flat / apartment for rent,"₦7,000,000","Diplomatic Zone, Katampe Extension, Katampe, Abuja",2026-06-01 11:14:04
Self contain (single rooms) for rent,"₦1,000,000","Lokogoma District, Abuja",2026-06-01 11:14:04
1 bedroom flat / apartment for rent,"₦9,000,000","Maitama District, Abuja",2026-06-01 11:14:13
5 bedroom terraced duplex for rent,"₦15,000,000","Jahi, Abuja",2026-06-01 11:14:13
Self contain (single rooms) for rent,"₦1,800,000","By American International School, Durumi, Abuja",2026-06-01 11:14:13
4 bedroom detached duplex for rent,"₦8,000,000","Dawaki, Gwarinpa, Abuja",2026-06-01 11:14:13
8 bedroom detached duplex for rent,"₦80,000,000","Guzape District, Abuja",2026-06-01 11:14:13
4 bedroom detached duplex for rent,"₦30,000,000","Naf Estate, Asokoro District, Abuja",2026-06-01 11:14:13
Shop for rent,"₦20,000,000","Mabushi, Abuja",2026-06-01 11:14:13
Shop for rent,"₦20,000,000","Mabushi, Abuja",2026-06-01 11:14:13
Shop for rent,"₦7,500,000","Mabushi, Abuja",2026-06-01 11:14:13
Shop for rent,"₦15,000,000","Mabushi, Mabushi, Abuja",2026-06-01 11:14:13
2 bedroom flat / apartment for rent,"₦5,000,000","Ochacho Estate, Idu Industrial, Abuja",2026-06-01 11:14:13
3 bedroom flat / apartment for rent,"₦6,500,000","By Ap Filling Station, Gudu, Abuja",2026-06-01 11:14:13
5 bedroom detached duplex for rent,"₦25,000,000","Asokoro Main, Asokoro District, Abuja",2026-06-01 11:14:13
Office space for rent,"₦15,000,000","Wuse, Abuja",2026-06-01 11:14:13
3 bedroom flat / apartment for rent,"₦8,000,000","Jabi, Abuja",2026-06-01 11:14:13
4 bedroom terraced duplex for rent,"₦13,000,000","Jahi, Abuja",2026-06-01 11:14:13
4 bedroom terraced duplex for rent,"₦15,000,000","Guzape District, Abuja",2026-06-01 11:14:13
5 bedroom house for rent,"₦15,000,000","Aiben Estate, Idu Industrial, Abuja",2026-06-01 11:14:13
4 bedroom terraced duplex for rent,"₦15,000,000","Wuye, Abuja",2026-06-01 11:14:13
3 bedroom flat / apartment for rent,"₦10,000,000","Katampe (Main), Katampe, Abuja",2026-06-01 11:14:13
Plaza / complex / mall for rent,"₦12,000,000","Lugbe District, Abuja",2026-06-01 11:14:13
1 bedroom flat / apartment for rent,"₦9,000,000","Maitama District, Abuja",2026-06-01 11:14:20
3 bedroom flat / apartment for rent,"₦8,000,000","Mabushi, Abuja",2026-06-01 11:14:20
Self contain (single rooms) for rent,"₦3,000,000","Gilmore, Katampe Extension, Katampe, Abuja",2026-06-01 11:14:20
1 bedroom flat / apartment for rent,"₦4,000,000","By Paradise 1, Life Camp, Abuja",2026-06-01 11:14:20
3 bedroom flat / apartment for rent,"₦9,500,000","Guzape District, Abuja",2026-06-01 11:14:20
3 bedroom flat / apartment for rent,"₦4,500,000","Sunnyvale Road, Lokogoma District, Abuja",2026-06-01 11:14:20
2 bedroom semi-detached duplex for rent,"₦5,500,000","Lugbe District, Abuja",2026-06-01 11:14:20
2 bedroom flat / apartment for rent,"₦9,000,000","Katampe (Main), Katampe, Abuja",2026-06-01 11:14:20
3 bedroom flat / apartment for rent,"₦10,000,000","Jabi, Abuja",2026-06-01 11:14:20
3 bedroom detached duplex for rent,"₦35,000,000","Maitama District, Abuja",2026-06-01 11:14:20
3 bedroom flat / apartment for rent,"$460,000","Wuse 2, Abuja",2026-06-01 11:14:20
3 bedroom flat / apartment for rent,"$70,000","Wuse 2, Abuja",2026-06-01 11:14:20
2 bedroom flat / apartment for rent,"₦7,000,000","Paradise Estate, Life Camp, Abuja",2026-06-01 11:14:20
4 bedroom semi-detached duplex for rent,"₦15,000,000","Close To Jabi Lake Shop Rite, Jabi, Abuja",2026-06-01 11:14:20
2 bedroom flat / apartment for rent,"₦8,000,000","Jahi Gilmore, Jahi, Abuja",2026-06-01 11:14:20
3 bedroom flat / apartment for rent,"₦15,000,000","Off Ademola Adetunkubo, Wuse 2, Abuja",2026-06-01 11:14:20
3 bedroom flat / apartment for rent,"₦6,000,000","Idu-karmo Abuja. ( After Nizamiyel Hospital) Turkish Hospital, Idu Industrial, Abuja",2026-06-01 11:14:20
4 bedroom terraced duplex for rent,"₦8,000,000","Idu-karmo, Abuja ( After Nizamiyel Hospital) Turkish Hospital., Idu Industrial, Abuja",2026-06-01 11:14:20
3 bedroom flat / apartment for rent,"₦6,500,000","Gaduwa, Abuja",2026-06-01 11:14:20
3 bedroom flat / apartment for rent,"₦7,000,000","62nd Road, Gwarinpa, Abuja",2026-06-01 11:14:20
3 bedroom flat / apartment for rent,"₦10,000,000","Jahi, Abuja",2026-06-01 11:14:20
1 bedroom flat / apartment for rent,"₦9,000,000","Maitama District, Abuja",2026-06-01 11:14:30
3 bedroom semi-detached duplex for rent,"₦11,000,000","Jabi, Abuja",2026-06-01 11:14:30
4 bedroom house for rent,"₦13,000,000","Katampe (Main), Katampe, Abuja",2026-06-01 11:14:30
6 bedroom detached duplex for rent,"₦60,000,000","Asokoro Main, Asokoro District, Abuja",2026-06-01 11:14:30
3 bedroom terraced duplex for rent,"$36,000","Maitama District, Abuja",2026-06-01 11:14:30
7 bedroom detached duplex for rent,"₦80,000,000","Asokoro District, Abuja",2026-06-01 11:14:30
4 bedroom terraced duplex for rent,"₦16,000,000","Lifecamp Main, Life Camp, Abuja",2026-06-01 11:14:30
3 bedroom flat / apartment for rent,"₦14,000,000","Katampe (Main), Katampe, Abuja",2026-06-01 11:14:30
4 bedroom detached duplex for rent,"₦25,000,000","By Arab, Utako, Abuja",2026-06-01 11:14:30
3 bedroom flat / apartment for rent,"₦15,000,000","2nd Avenue, Gwarinpa, Abuja",2026-06-01 11:14:30
6 bedroom detached duplex for rent,"₦35,000,000","Gwarinpa, Abuja",2026-06-01 11:14:30
4 bedroom house for rent,"₦30,000,000","Asokoro District, Abuja",2026-06-01 11:14:30
5 bedroom detached duplex for rent,"₦30,000,000","Asokoro District, Abuja",2026-06-01 11:14:30
4 bedroom terraced duplex for rent,"₦15,000,000","Kado, Abuja",2026-06-01 11:14:30
4 bedroom terraced duplex for rent,"₦18,500,000","3rd Avenue, Gwarinpa, Abuja",2026-06-01 11:14:30
3 bedroom detached bungalow for rent,"₦5,500,000","Dantata Estate, Kubwa, Abuja",2026-06-01 11:14:30
Office space for rent,"₦28,500,000","Ademola Adetokunbo Wuse Ii, Wuse 2, Abuja",2026-06-01 11:14:30
4 bedroom terraced duplex for rent,"₦23,000,000","Mabushi, Abuja",2026-06-01 11:14:30
4 bedroom terraced duplex for rent,"₦45,000,000","Maitama District, Abuja",2026-06-01 11:14:30
4 bedroom detached duplex for rent,"₦18,000,000","Mabushi, Abuja",2026-06-01 11:14:30
4 bedroom terraced duplex for rent,"₦20,000,000","Diplomatic Zone, Katampe Extension, Katampe, Abuja",2026-06-01 11:14:30
1 bedroom flat / apartment for rent,"₦9,000,000","Maitama District, Abuja",2026-06-01 11:14:40
6 bedroom detached duplex for rent,"₦150,000,000","Maitama District, Abuja",2026-06-01 11:14:40
3 bedroom flat / apartment for rent,"₦7,500,000","Gwarinpa, Abuja",2026-06-01 11:14:40
3 bedroom flat / apartment for rent,"₦30,000,000","Maitama District, Abuja",2026-06-01 11:14:40
4 bedroom terraced duplex for rent,"₦10,000,000","Garki Main (by Rea 2), Garki, Abuja",2026-06-01 11:14:40
3 bedroom flat / apartment for rent,"₦8,000,000","Jabi, Abuja",2026-06-01 11:14:40
2 bedroom flat / apartment for rent,"₦6,500,000","Life Camp, Abuja",2026-06-01 11:14:40
6 bedroom semi-detached duplex for rent,"₦40,000,000","Main Asokoro, Asokoro District, Abuja",2026-06-01 11:14:40
Office space for rent,"₦200,000,000","Wuse 2, Abuja",2026-06-01 11:14:40
6 bedroom detached duplex for rent,"₦42,000,000","Katampe Extension, Katampe, Abuja",2026-06-01 11:14:40
4 bedroom terraced duplex for rent,"₦20,000,000","Kado, Abuja",2026-06-01 11:14:40
4 bedroom house for rent,"₦9,000,000","Jahi, Abuja",2026-06-01 11:14:40
5 bedroom house for rent,"₦35,000,000","Wuye, Abuja",2026-06-01 11:14:40
4 bedroom detached duplex for rent,"₦10,000,000","Idu-karmo, Nizamiyel Hospital (turkish Hospital), Idu Industrial, Abuja",2026-06-01 11:14:40
1 bedroom flat / apartment for rent,"₦3,000,000","News Engineering, Dawaki, Gwarinpa, Abuja",2026-06-01 11:14:40
3 bedroom flat / apartment for rent,"₦8,000,000","Utako, Abuja",2026-06-01 11:14:40
3 bedroom flat / apartment for rent,"₦7,000,000","62 Road, Gwarinpa, Abuja",2026-06-01 11:14:40
4 bedroom house for rent,"₦25,000,000","Utako, Abuja",2026-06-01 11:14:40
2 bedroom house for rent,"₦13,000,000","Katampe (Main), Katampe, Abuja",2026-06-01 11:14:40
5 bedroom detached duplex for rent,"₦45,000,000","Wuse 2, Abuja",2026-06-01 11:14:40
4 bedroom terraced duplex for rent,"₦16,000,000","Kado, Abuja",2026-06-01 11:14:40
Conference / meeting / training room for rent,"₦200,000","Kumasi Crescent, Wuse 2, Abuja",2026-06-01 11:14:49
4 bedroom semi-detached duplex for rent,"₦8,000,000","Von Axis, Lugbe District, Abuja",2026-06-01 11:14:49
4 bedroom terraced duplex for rent,"₦12,000,000","Legislative Quarters, Gudu, Abuja",2026-06-01 11:14:49
4 bedroom terraced duplex for rent,"₦12,000,000","Cluster,  River Park Estate Airport Road, Lugbe District, Abuja",2026-06-01 11:14:49
3 bedroom flat / apartment for rent,"₦12,500,000","Jahi, Abuja",2026-06-01 11:14:49
6 bedroom detached duplex for rent,"₦35,000,000","Katampe Extension, Katampe, Abuja",2026-06-01 11:14:49
4 bedroom terraced duplex for rent,"₦25,000,000","Guzape District, Abuja",2026-06-01 11:14:49
2 bedroom flat / apartment for rent,"₦42,000,000","Jabi, Abuja",2026-06-01 11:14:49
2 bedroom flat / apartment for rent,"₦7,000,000","Katampe Extension, Katampe, Abuja",2026-06-01 11:14:49
4 bedroom house for rent,"₦15,000,000","Mabushi, Abuja",2026-06-01 11:14:49
3 bedroom flat / apartment for rent,"₦72,000,000","Jahi, Abuja",2026-06-01 11:14:49
24 bedroom terraced duplex for rent,"₦420,000,000","Wuse 2, Abuja",2026-06-01 11:14:49
6 bedroom detached duplex for rent,"₦50,000,000","Asokoro District, Abuja",2026-06-01 11:14:49
4 bedroom terraced duplex for rent,"₦30,000,000","Guzape District, Abuja",2026-06-01 11:14:49
Office space for rent,"₦180,000,000","Wuse 2, Abuja",2026-06-01 11:14:49
4 bedroom terraced duplex for rent,"₦15,000,000","By Aso Radio, Katampe (Main), Katampe, Abuja",2026-06-01 11:14:49
4 bedroom terraced duplex for rent,"₦12,000,000","Mabushi Behind Capital Hub, Mabushi, Abuja",2026-06-01 11:14:49
4 bedroom terraced duplex for rent,"₦50,000,000","Maitama District, Abuja",2026-06-01 11:14:49
4 bedroom terraced duplex for rent,"₦8,000,000","Lifecamp Junction, Life Camp, Abuja",2026-06-01 11:14:49
4 bedroom terraced duplex for rent,"₦25,000,000","Guzape District, Abuja",2026-06-01 11:14:49
4 bedroom terraced duplex for rent,"₦13,000,000","Off Magistrate Court, Life Camp, Abuja",2026-06-01 11:14:49
Conference / meeting / training room for rent,"₦200,000","Kumasi Crescent, Wuse 2, Abuja",2026-06-01 11:14:57
6 bedroom detached duplex for rent,"₦80,000,000","Maitama Off Lake Chad, Maitama District, Abuja",2026-06-01 11:14:57
Shop for rent,"₦4,000,000","Sphinx Mall, Gaduwa, Abuja",2026-06-01 11:14:57
3 bedroom flat / apartment for rent,"₦5,500,000","Idu-karmo District, After Nizamiyel Hospital ( Turkish Hospital), Idu Industrial, Abuja",2026-06-01 11:14:57
3 bedroom flat / apartment for rent,"₦4,500,000","Idu-karmo District, After Nizamiyel Hospital ( Turkish Hospital), Idu Industrial, Abuja",2026-06-01 11:14:57
5 bedroom detached duplex for rent,"₦100,000,000","Maitama District, Abuja",2026-06-01 11:14:57
4 bedroom terraced duplex for rent,"₦8,000,000","Life Camp, Abuja",2026-06-01 11:14:57
4 bedroom semi-detached duplex for rent,"₦18,000,000","Naf Valley Estate, Asokoro District, Abuja",2026-06-01 11:14:57
2 bedroom flat / apartment for rent,"₦8,500,000","Nnpc Estate, Life Camp, Abuja",2026-06-01 11:14:57
5 bedroom terraced duplex for rent,"₦25,000,000","Wuye, Abuja",2026-06-01 11:14:57
Plaza / complex / mall for rent,"₦55,000,000","Jahi, Abuja",2026-06-01 11:14:57
Commercial land for rent,"₦9,000,000","Central Business District, Abuja",2026-06-01 11:14:57
Commercial land for rent,"₦9,000,000","Central Business District, Abuja",2026-06-01 11:14:57
3 bedroom flat / apartment for rent,"₦13,000,000","Wuse 2, Abuja",2026-06-01 11:14:57
4 bedroom house for rent,"$60,000","Aso Villa Asokoro, Asokoro District, Abuja",2026-06-01 11:14:57
5 bedroom flat / apartment for rent,"₦50,000,000","Maitama District, Abuja",2026-06-01 11:14:57
5 bedroom detached duplex for rent,"₦25,000,000","Nicon Junction, Katampe (Main), Katampe, Abuja",2026-06-01 11:14:57
2 bedroom flat / apartment for rent,"₦6,500,000","Life Camp, Abuja",2026-06-01 11:14:57
