District,Bedrooms,Price (Per Annum),Property Category,Property Type,Location,Scraped_At,Source
Mabushi,5,200000000.0,Duplex,Detached Duplex,5bdrm Duplex in Mabushi Close To for rent,2026-05-30 13:26:28,Jiji
Maitama,5,25000000.0,Duplex,Detached Duplex,5bdrm Duplex in Maitama for rent,2026-05-30 13:26:28,Jiji
Gwarinpa,4,15000000.0,Duplex,Detached Duplex,"4bdrm Duplex in Qwarimpa, Gwarinpa for rent",2026-05-30 13:26:28,Jiji
Life Camp,2,5000000.0,Apartment,Apartment,2bdrm Apartment in Lifecamp for rent,2026-05-30 13:26:28,Jiji
Durumi,3,4000000.0,Apartment,Apartment,"3bdrm Apartment in Gowan Street, Durumi for rent",2026-05-30 13:26:28,Jiji
Lokogoma,2,3000000.0,Apartment,Apartment,"Furnished 2bdrm Apartment in City Homes, Lokogoma for rent",2026-05-30 13:26:28,Jiji
Gwarinpa,2,5000000.0,Apartment,Apartment,"2bdrm Block of Flats in Gwarimpa, Gwarinpa for rent",2026-05-30 13:26:28,Jiji
Mabushi,5,30000000.0,Duplex,Detached Duplex,5bdrm Duplex in Mabushi for rent,2026-05-30 13:26:28,Jiji
Mabushi,2,8000000.0,Apartment,Apartment,2bdrm Apartment in Mabushi for rent,2026-05-30 13:26:28,Jiji
Life Camp,2,9000000.0,Apartment,Apartment,"Furnished 2bdrm Apartment in Bristol Apartments, Life Camp for rent",2026-05-30 13:26:28,Jiji
Jahi,2,8000000000.0,Apartment,Apartment,2bdrm Apartment in Jahi for rent,2026-05-30 13:26:28,Jiji
Galadimawa,1,1100000.0,Apartment,Apartment,"1bdrm Apartment in Queen Street, Galadimawa for rent",2026-05-30 13:26:28,Jiji
Gwarinpa,2,4200000.0,House,House,"2bdrm Bungalow in Dantata Estate, Gwarinpa for rent",2026-05-30 13:26:28,Jiji
Asokoro,7,180000000.0,Duplex,Detached Duplex,7bdrm Duplex in Asokoro for rent,2026-05-30 13:26:28,Jiji
Karmo,4,6000000.0,Duplex,Terraced Duplex,"4bdrm Townhouse / Terrace in Estate, Karmo for rent",2026-05-30 13:26:28,Jiji
Gwarinpa,4,20000000.0,Duplex,Detached Duplex,"4bdrm Duplex in 3Rd Avenue Gwarimpa, Gwarinpa for rent",2026-05-30 13:26:35,Jiji
Gaduwa,3,6000000.0,Apartment,Apartment,3bdrm Block of Flats in Gaduwa for rent,2026-05-30 13:26:35,Jiji
Jahi,5,30000000.0,Duplex,Detached Duplex,Furnished 5bdrm Duplex in Jahi for rent,2026-05-30 13:26:35,Jiji
Maitama,3,20500000.0,Duplex,Detached Duplex,"3bdrm Duplex in Hamptons, Maitama for rent",2026-05-30 13:26:35,Jiji
Lokogoma,2,8000000.0,House,House,Furnished 2bdrm House in Pentville Estate for rent,2026-05-30 13:26:35,Jiji
Jahi,4,10000000.0,Duplex,Detached Duplex,4bdrm Duplex in Jahi for rent,2026-05-30 13:26:35,Jiji
Durumi,1,5000000.0,Apartment,Apartment,"Furnished 1bdrm Apartment in Iyoba Apartment, Durumi for rent",2026-05-30 13:26:35,Jiji
Jahi,3,11500000.0,Apartment,Apartment,3bdrm Apartment in Jahi for rent,2026-05-30 13:26:35,Jiji
Utako,2,4000000.0,Apartment,Apartment,Furnished 2bdrm Apartment in Utako for rent,2026-05-30 13:26:35,Jiji
Gwarinpa,5,10000000.0,Duplex,Detached Duplex,"5bdrm Duplex in Orange Estate Off, Gwarinpa for rent",2026-05-30 13:26:35,Jiji
Jabi,3,14000000.0,Apartment,Apartment,"Furnished 3bdrm Block of Flats in Vintage Villas, Jabi for rent",2026-05-30 13:26:43,Jiji
Asokoro,6,30000000.0,Duplex,Detached Duplex,"6bdrm Duplex in Naf Valley Estate, Asokoro for rent",2026-05-30 13:26:43,Jiji
Gwarinpa,1,1500000.0,Apartment,Apartment,"Mini Flat in Gwarimpa Estate, Gwarinpa for rent",2026-05-30 13:26:43,Jiji
Mabushi,3,10000000.0,Apartment,Apartment,"3bdrm Apartment in Victoria Garden, Mabushi for rent",2026-05-30 13:26:43,Jiji
Life Camp,4,9000000.0,Duplex,Detached Duplex,4bdrm Duplex in Life Camp for rent,2026-05-30 13:26:43,Jiji
Asokoro,4,17000000.0,Duplex,Detached Duplex,4bdrm Duplex in Asokoro for rent,2026-05-30 13:26:43,Jiji
Durumi,1,5500000.0,Apartment,Apartment,"Furnished 1bdrm Apartment in Iyoba Apartment, Durumi for rent",2026-05-30 13:26:43,Jiji
Gudu,4,13000000.0,Duplex,Detached Duplex,"Furnished 4bdrm Duplex in Rockvale Manor, Gudu for rent",2026-05-30 13:26:43,Jiji
Utako,3,15000000.0,Duplex,Detached Duplex,3bdrm Duplex in Utako for rent,2026-05-30 13:26:43,Jiji
Maitama,4,30000000.0,Duplex,Terraced Duplex,4bdrm Townhouse / Terrace in Maitama for rent,2026-05-30 13:26:43,Jiji
Kado,3,18000000.0,House,House,Furnished 3bdrm Bungalow in Kado Estate Phase 1 for rent,2026-05-30 13:26:43,Jiji
Maitama,4,40000000.0,Duplex,Terraced Duplex,Furnished 4bdrm Townhouse / Terrace in Maitama for rent,2026-05-30 13:26:43,Jiji
Life Camp,4,25000000.0,Duplex,Detached Duplex,4bdrm Duplex in Life Camp for rent,2026-05-30 13:26:43,Jiji
Maitama,5,28000000.0,Duplex,Detached Duplex,5bdrm Duplex in Maitama for rent,2026-05-30 13:26:51,Jiji
Kubwa,4,9000000.0,Duplex,Detached Duplex,Furnished 4bdrm Duplex in Hill View Community for rent,2026-05-30 13:26:51,Jiji
Galadimawa,4,8000000.0,Duplex,Detached Duplex,"Furnished 4bdrm Duplex in Levi Estate, Galadimawa for rent",2026-05-30 13:26:51,Jiji
Jabi,3,200000000.0,Apartment,Apartment,3bdrm Apartment in Jabi for rent,2026-05-30 13:26:51,Jiji
Asokoro,4,28000000.0,Duplex,Detached Duplex,4bdrm Duplex in Asokoro Fct for rent,2026-05-30 13:26:51,Jiji
Wuye,4,18000000.0,Duplex,Detached Duplex,4bdrm Duplex in Wuye for rent,2026-05-30 13:26:51,Jiji
Asokoro,2,10000000.0,House,House,"2bdrm Bungalow in Abuja, Asokoro for rent",2026-05-30 13:26:51,Jiji
Mabushi,3,12000000.0,Apartment,Apartment,3bdrm Apartment in Mabushi for rent,2026-05-30 13:26:51,Jiji
Jahi,2,19000000.0,Apartment,Apartment,Furnished 2bdrm Apartment in Jahi for rent,2026-05-30 13:26:51,Jiji
Galadimawa,5,10000000.0,House,House,"5bdrm Bungalow in Suncity Estate, Galadimawa for rent",2026-05-30 13:26:51,Jiji
Gudu,3,13000000.0,Duplex,Detached Duplex,"Furnished 3bdrm Duplex in Rockvale Manors, Gudu for rent",2026-05-30 13:26:51,Jiji
Jabi,2,42000000.0,Apartment,Apartment,Furnished 2bdrm Block of Flats in Jabi for rent,2026-05-30 13:26:51,Jiji
Life Camp,4,16000000.0,Duplex,Detached Duplex,"4bdrm Duplex in Tangerine Exquisite, Life Camp for rent",2026-05-30 13:26:51,Jiji
Maitama,3,25000000.0,Apartment,Apartment,3bdrm Block of Flats in Maitama Property for rent,2026-05-30 13:26:51,Jiji
Kubwa,1,1200000.0,Apartment,Self Contain,"Studio Apartment in Arab Road, Kubwa for rent",2026-05-30 13:26:57,Jiji
Kubwa,1,2000000.0,Apartment,Apartment,"1bdrm Block of Flats in Hillview Estate, Kubwa for rent",2026-05-30 13:26:57,Jiji
Utako,1,2000000.0,Apartment,Self Contain,Studio Apartment in Utako for rent,2026-05-30 13:26:57,Jiji
Kubwa,3,4000000.0,Duplex,Detached Duplex,"3bdrm Duplex in Hillview Estate, Kubwa for rent",2026-05-30 13:26:57,Jiji
Maitama,7,50000000.0,Duplex,Detached Duplex,7bdrm Duplex in Maitama for rent,2026-05-30 13:26:57,Jiji
Mabushi,4,12000000.0,Duplex,Detached Duplex,4bdrm Duplex in Mabushi for rent,2026-05-30 13:26:57,Jiji
Kado,1,2000000.0,Apartment,Apartment,1bdrm Apartment in Kado for rent,2026-05-30 13:26:57,Jiji
Jabi,2,7000000.0,Apartment,Apartment,2bdrm Apartment in Jabi for rent,2026-05-30 13:26:57,Jiji
Durumi,3,5000000.0,Apartment,Apartment,3bdrm Block of Flats in Durumi for rent,2026-05-30 13:26:57,Jiji
Maitama,6,65000000.0,Duplex,Detached Duplex,6bdrm Duplex in Maitama for rent,2026-05-30 13:26:57,Jiji
Wuye,4,15000000.0,Duplex,Detached Duplex,4bdrm Duplex in Wuye District for rent,2026-05-30 13:26:57,Jiji
Wuye,5,30000000.0,Duplex,Detached Duplex,5bdrm Duplex in Wuye for rent,2026-05-30 13:26:57,Jiji
Wuye,4,15000000.0,Duplex,Terraced Duplex,4bdrm Townhouse / Terrace in Main Wuye for rent,2026-05-30 13:26:57,Jiji
Mabushi,5,18000000.0,Duplex,Detached Duplex,"5bdrm Duplex in Nugget, Mabushi for rent",2026-05-30 13:26:57,Jiji
Jahi,2,5000000.0,Apartment,Apartment,"2bdrm Block of Flats in Nugget, Jahi for rent",2026-05-30 13:26:57,Jiji
Asokoro,4,25000000.0,Duplex,Terraced Duplex,"Furnished 4bdrm Townhouse / Terrace in Jimmy Carter, Asokoro for rent",2026-05-30 13:27:09,Jiji
Maitama,5,80000000.0,Duplex,Detached Duplex,5bdrm Duplex in Maitama for rent,2026-05-30 13:27:09,Jiji
