District,Bedrooms,Price (Per Annum),Property Category,Property Type,Location,Scraped_At
Gudu,3,8000000,Apartment,Apartment,3bdrm Block of Flats in Gudu for rent,2026-05-30 13:29:45
Durumi,5,10000000,Duplex,Detached Duplex,5bdrm Duplex in Durumi for rent,2026-05-30 13:29:45
Jahi,3,10000000,Apartment,Apartment,3bdrm Block of Flats in Jahi for rent,2026-05-30 13:29:45
Jahi,3,10000000,Apartment,Apartment,Furnished 3bdrm Block of Flats in Jahi for rent,2026-05-30 13:29:45
Mabushi,4,15000000,Duplex,Terraced Duplex,4bdrm Townhouse / Terrace in Mabushi for rent,2026-05-30 13:29:45
Kubwa,2,3500000,Apartment,Apartment,2bdrm Block of Flats in Kubwa for rent,2026-05-30 13:29:45
Jahi,5,17000000,Duplex,Detached Duplex,"5bdrm Duplex in Jahi Gilmore,Fct for rent",2026-05-30 13:29:45
Idu,2,4000000,Apartment,Apartment,2bdrm Block of Flats in Idu Main for rent,2026-05-30 13:29:45
Gwarinpa,3,10000000,Duplex,Detached Duplex,"3bdrm Duplex in Gwarimpa Estate,Fct, Gwarinpa for rent",2026-05-30 13:29:45
Jahi,5,16000000,Duplex,Detached Duplex,5bdrm Duplex in Jahi Gilmore Fct for rent,2026-05-30 13:29:45
Mabushi,4,12000000,Duplex,Detached Duplex,4bdrm Duplex in Mabushi for rent,2026-05-30 13:29:45
Jahi,3,10000000,Apartment,Apartment,"Furnished 3bdrm Block of Flats in Gilmo, Jahi for rent",2026-05-30 13:29:56
Kubwa,2,5000000,Apartment,Apartment,"2bdrm Block of Flats in Fo1, Kubwa for rent",2026-05-30 13:29:56
Kubwa,4,8000000,Duplex,Detached Duplex,4bdrm Duplex in Kubwa for rent,2026-05-30 13:29:56
Jahi,1,2000000,Apartment,Apartment,"1bdrm Apartment in Banana Island, Jahi for rent",2026-05-30 13:29:56
Gwarinpa,4,9000000,Duplex,Terraced Duplex,"4bdrm Townhouse / Terrace in Off 3Rd Avenue, Gwarinpa for rent",2026-05-30 13:29:56
Jahi,2,6500000,Apartment,Apartment,2bdrm Block of Flats in Jahi Glimo for rent,2026-05-30 13:29:56
Life Camp,5,15000000,Duplex,Detached Duplex,"Furnished 5bdrm Duplex in Trem Church, Life Camp for rent",2026-05-30 13:29:56
Gwarinpa,5,14000000,Duplex,Detached Duplex,"5bdrm Duplex in Gwarimpa Estate By, Gwarinpa for rent",2026-05-30 13:29:56
Gwarinpa,4,10000000,House,House,"4bdrm Bungalow in Gwarimpa, Gwarinpa for rent",2026-05-30 13:29:56
Jahi,4,20000000,Duplex,Detached Duplex,"4bdrm Duplex in Jahi Gilmore,Fct for rent",2026-05-30 13:29:56
Life Camp,2,5000000,Apartment,Apartment,2bdrm Apartment in Lifecamp for rent,2026-05-30 13:29:56
Katampe,4,14000000,Duplex,Terraced Duplex,4bdrm Townhouse / Terrace in Katampe Main for rent,2026-05-30 13:29:56
Asokoro,3,75000000,Apartment,Apartment,Furnished 3bdrm Apartment in Main Asokoro for rent,2026-05-30 13:29:56
Life Camp,6,25000000,House,House,6bdrm House in Life Camp for rent,2026-05-30 13:29:56
Maitama,4,20000000,House,House,4bdrm Bungalow in Maitama for rent,2026-05-30 13:29:56
Kaura,2,7500000,Apartment,Apartment,2bdrm Block of Flats in Kaura for rent,2026-05-30 13:29:56
Gaduwa,4,10000000,Duplex,Detached Duplex,4bdrm Duplex in Gaduwa for rent,2026-05-30 13:29:56
Life Camp,3,6000000,House,House,3bdrm Bungalow in Life Camp for rent,2026-05-30 13:29:56
Gwarinpa,5,12000000,Duplex,Detached Duplex,"5bdrm Duplex in Harmony Estate, Gwarinpa for rent",2026-05-30 13:29:56
Gwarinpa,4,11000000,Duplex,Detached Duplex,"4bdrm Duplex in Gwarimpa, Gwarinpa for rent",2026-05-30 13:30:04
Jabi,3,68250000,Apartment,Apartment,Furnished 3bdrm Apartment in Jabi By Lakeview for rent,2026-05-30 13:30:04
Wuye,4,25000000,Duplex,Detached Duplex,4bdrm Duplex in Main Wuye for rent,2026-05-30 13:30:04
Galadimawa,4,8000000,Duplex,Detached Duplex,"Furnished 4bdrm Duplex in Levi Estate, Galadimawa for rent",2026-05-30 13:30:04
Maitama,2,48000000,Apartment,Apartment,Furnished 2bdrm Apartment in Maitama for rent,2026-05-30 13:30:04
Wuye,5,30000000,Duplex,Detached Duplex,5bdrm Duplex in Wuye for rent,2026-05-30 13:30:04
Maitama,3,20000000,Apartment,Apartment,3bdrm Apartment in Maitama for rent,2026-05-30 13:30:04
Jahi,3,9000000,Apartment,Apartment,3bdrm Apartment in Jahi for rent,2026-05-30 13:30:04
Durumi,3,5000000,Apartment,Apartment,3bdrm Block of Flats in Durumi for rent,2026-05-30 13:30:04
Kubwa,2,3000000,Apartment,Apartment,"2bdrm Block of Flats in Fo1, Kubwa for rent",2026-05-30 13:30:04
Mabushi,4,15000000,Duplex,Terraced Duplex,4bdrm Townhouse / Terrace in Mabushi for rent,2026-05-30 13:30:04
Jabi,3,5500000,Apartment,Apartment,3bdrm Block of Flats in Main Jabi By Fcmb for rent,2026-05-30 13:30:04
Jahi,3,8500000,Apartment,Apartment,3bdrm Apartment in Jahi Gilmore for rent,2026-05-30 13:30:04
Kubwa,3,4000000,Apartment,Apartment,"3bdrm Block of Flats in Extension 3, Kubwa for rent",2026-05-30 13:30:04
Jahi,4,15000000,Duplex,Detached Duplex,4bdrm Duplex in Jahi Gilmore Fct for rent,2026-05-30 13:30:04
Gwarinpa,5,18000000,Duplex,Detached Duplex,"5bdrm Duplex in Gwarimpa Estate, Gwarinpa for rent",2026-05-30 13:30:04
Jahi,3,8500000,Apartment,Apartment,3bdrm Block of Flats in Jahi for rent,2026-05-30 13:30:04
Asokoro,3,35000000,Apartment,Apartment,3bdrm Block of Flats in Asokoro for rent,2026-05-30 13:30:04
Maitama,5,60000000,Duplex,Detached Duplex,5bdrm Duplex in Maitama for rent,2026-05-30 13:30:12
Maitama,4,77500000,Duplex,Detached Duplex,4bdrm Duplex in Maitama for rent,2026-05-30 13:30:12
Galadimawa,4,8000000,Duplex,Detached Duplex,"Furnished 4bdrm Duplex in Levi Estate, Galadimawa for rent",2026-05-30 13:30:12
Durumi,3,8000000,Apartment,Apartment,3bdrm Block of Flats in Durumi for rent,2026-05-30 13:30:12
Kubwa,3,5000000,Apartment,Apartment,"3bdrm Block of Flats in Fo1, Kubwa for rent",2026-05-30 13:30:12
Life Camp,5,15000000,Duplex,Detached Duplex,"Furnished 5bdrm Duplex in Trem Church, Life Camp for rent",2026-05-30 13:30:12
Kubwa,2,2500000,Apartment,Apartment,"2bdrm Apartment in F14, Kubwa for rent",2026-05-30 13:30:12
Gwarinpa,3,9000000,House,House,"3bdrm Bungalow in Efab Queen Estate By, Gwarinpa for rent",2026-05-30 13:30:12
Gwarinpa,4,13000000,Duplex,Detached Duplex,"4bdrm Duplex in Mabeglober Estate, Gwarinpa for rent",2026-05-30 13:30:12
Asokoro,3,20000000,House,House,Furnished 3bdrm Farm House in Naf Valley Asokoro for rent,2026-05-30 13:30:12
Maitama,10,250000000,Duplex,Detached Duplex,10bdrm Duplex in Maitama District for rent,2026-05-30 13:30:12
Asokoro,3,50000000,Duplex,Detached Duplex,"Furnished 3bdrm Duplex in Aso Villa, Asokoro for rent",2026-05-30 13:30:12
Jahi,4,20000000,Duplex,Detached Duplex,4bdrm Duplex in Jahi for rent,2026-05-30 13:30:12
Mabushi,4,15000000,Duplex,Terraced Duplex,4bdrm Townhouse / Terrace in Mabushi for rent,2026-05-30 13:30:12
Kaura,2,7500000,Apartment,Apartment,2bdrm Block of Flats in Kaura for rent,2026-05-30 13:30:12
Life Camp,3,6000000,House,House,3bdrm Bungalow in Life Camp for rent,2026-05-30 13:30:12
Gaduwa,4,10000000,Duplex,Detached Duplex,4bdrm Duplex in Gaduwa for rent,2026-05-30 13:30:12
Durumi,4,12000000,Duplex,Detached Duplex,4bdrm Duplex in Durumi for rent,2026-05-30 13:30:20
Maitama,3,200000000,Apartment,Apartment,3bdrm Block of Flats in Maitama for rent,2026-05-30 13:30:20
Life Camp,6,25000000,House,House,6bdrm House in Life Camp for rent,2026-05-30 13:30:20
Jabi,3,12000000,Apartment,Apartment,3bdrm Apartment in Jabi for rent,2026-05-30 13:30:20
Jabi,4,60000000,House,House,Furnished 4bdrm House in Jabi for rent,2026-05-30 13:30:20
Kubwa,2,3500000,Apartment,Apartment,2bdrm Block of Flats in Kubwa for rent,2026-05-30 13:30:20
Life Camp,2,6000000,Apartment,Apartment,"2bdrm Block of Flats in Paradise Estate, Life Camp for rent",2026-05-30 13:30:20
Jahi,5,17000000,Duplex,Detached Duplex,"5bdrm Duplex in Jahi Gilmore,Fct for rent",2026-05-30 13:30:20
Wuye,10,65000000,Duplex,Detached Duplex,10bdrm Duplex in Wuye for rent,2026-05-30 13:30:20
Wuye,6,60000000,Duplex,Detached Duplex,"6bdrm Duplex in Asokoro District, Wuye for rent",2026-05-30 13:30:20
Utako,2,18000000,House,House,Furnished 2bdrm Bedsitter in Main Utako for rent,2026-05-30 13:30:20
Durumi,4,12000000,Duplex,Detached Duplex,4bdrm Duplex in Durumi for rent,2026-05-30 13:30:20
Maitama,5,60000000,Duplex,Detached Duplex,5bdrm Duplex in Maitama for rent,2026-05-30 13:30:20
Jahi,4,20000000,Duplex,Detached Duplex,4bdrm Duplex in Jahi for rent,2026-05-30 13:30:20
Kubwa,2,3500000,Apartment,Apartment,"2bdrm Block of Flats in Fo1, Kubwa for rent",2026-05-30 13:30:20
Kubwa,2,3500000,Apartment,Apartment,"2bdrm Block of Flats in Fo1, Kubwa for rent",2026-05-30 13:30:29
Jahi,1,1200000,Apartment,Apartment,Furnished 1bdrm Apartment in Jahi for rent,2026-05-30 13:30:29
Kado,4,20000000,Duplex,Detached Duplex,4bdrm Duplex in Kado Before Life for rent,2026-05-30 13:30:29
Asokoro,5,25000000,Duplex,Detached Duplex,5bdrm Duplex in Asokoro for rent,2026-05-30 13:30:29
Maitama,3,20000000,Duplex,Terraced Duplex,"3bdrm Townhouse / Terrace in Main Maita, Maitama for rent",2026-05-30 13:30:29
Jabi,4,25000000,Duplex,Detached Duplex,4bdrm Duplex in Jabi Main for rent,2026-05-30 13:30:29
Durumi,2,6000000,Apartment,Apartment,2bdrm Block of Flats in Durumi for rent,2026-05-30 13:30:29
Durumi,4,12000000,Duplex,Detached Duplex,4bdrm Duplex in Durumi for rent,2026-05-30 13:30:29
Kubwa,2,3000000,Apartment,Apartment,"2bdrm Block of Flats in Fo1, Kubwa for rent",2026-05-30 13:30:29
Jabi,3,68250000,Apartment,Apartment,Furnished 3bdrm Apartment in Jabi By Lakeview for rent,2026-05-30 13:30:29
Durumi,4,12000000,Duplex,Detached Duplex,4bdrm Duplex in Durumi for rent,2026-05-30 13:30:29
Maitama,3,200000000,Apartment,Apartment,3bdrm Block of Flats in Maitama for rent,2026-05-30 13:30:29
Life Camp,6,25000000,House,House,6bdrm House in Life Camp for rent,2026-05-30 13:30:29
Gwarinpa,5,12000000,Duplex,Detached Duplex,"5bdrm Duplex in Harmony Estate, Gwarinpa for rent",2026-05-30 13:30:38
Mabushi,1,3500000,Apartment,Self Contain,Studio Apartment in Mabushi for rent,2026-05-30 13:30:38
Jabi,3,18000000,Duplex,Detached Duplex,Furnished 3bdrm Duplex in Jabi District for rent,2026-05-30 13:30:38
Utako,1,2000000,Apartment,Self Contain,Studio Apartment in Utako for rent,2026-05-30 13:30:38
Life Camp,2,5000000,Apartment,Apartment,2bdrm Apartment in Lifecamp for rent,2026-05-30 13:30:38
Jabi,2,60000000,Apartment,Apartment,2bdrm Block of Flats in Jabi for rent,2026-05-30 13:30:38
Durumi,3,8000000,Apartment,Apartment,3bdrm Block of Flats in Durumi for rent,2026-05-30 13:30:38
Maitama,3,45500000,Apartment,Apartment,Furnished 3bdrm Apartment in Maitama for rent,2026-05-30 13:30:38
Asokoro,6,75000000,Duplex,Detached Duplex,6bdrm Duplex in Asokoro for rent,2026-05-30 13:30:38
Katampe,4,14000000,Duplex,Terraced Duplex,4bdrm Townhouse / Terrace in Katampe Main for rent,2026-05-30 13:30:38
Kado,5,20000000,Duplex,Detached Duplex,5bdrm Duplex in Kado By Lake View for rent,2026-05-30 13:30:38
Jabi,4,22000000,Duplex,Detached Duplex,"4bdrm Duplex in Life Camp Closed To, Jabi for rent",2026-05-30 13:30:38
Life Camp,3,10000000,House,House,3bdrm Farm House in Life Camp After for rent,2026-05-30 13:30:38
Life Camp,1,10500000,Apartment,Apartment,1bdrm Apartment in Life Camp for rent,2026-05-30 13:30:38
Utako,5,30000000,Duplex,Terraced Duplex,"5bdrm Townhouse / Terrace in Main Wuye, Utako for rent",2026-05-30 13:30:38
Mabushi,2,120000000,Apartment,Apartment,2bdrm Apartment in Mabushi Close To for rent,2026-05-30 13:30:38
Asokoro,12,60000000,Duplex,Detached Duplex,12bdrm Duplex in Main Asokoro for rent,2026-05-30 13:30:38
Wuye,4,120000000,Duplex,Terraced Duplex,4bdrm Townhouse / Terrace in Main Wuye for rent,2026-05-30 13:30:38
Maitama,1,15000000,Apartment,Apartment,Furnished 1bdrm Apartment in Maitama Main for rent,2026-05-30 13:30:45
Wuye,3,20000000,Apartment,Apartment,3bdrm Apartment in Wuye District for rent,2026-05-30 13:30:45
Life Camp,3,5000000,Apartment,Apartment,3bdrm Apartment in Luxiar Apartments for rent,2026-05-30 13:30:45
Maitama,3,30000000,Apartment,Apartment,3bdrm Apartment in Maitama District for rent,2026-05-30 13:30:45
Maitama,2,22000000,House,House,Furnished 2bdrm Bungalow in Main Maitama for rent,2026-05-30 13:30:45
Wuye,4,25000000,Duplex,Terraced Duplex,4bdrm Townhouse / Terrace in Wuye Main for rent,2026-05-30 13:30:45
Utako,6,40000000,Duplex,Detached Duplex,6bdrm Duplex in Utako for rent,2026-05-30 13:30:45
Maitama,3,112000000,Duplex,Detached Duplex,Furnished 3bdrm Duplex in Maitama District for rent,2026-05-30 13:30:45
Wuye,4,15000000,Duplex,Terraced Duplex,4bdrm Townhouse / Terrace in Wuye for rent,2026-05-30 13:30:45
Life Camp,3,8000000,Apartment,Apartment,3bdrm Apartment in Life Camp By Air for rent,2026-05-30 13:30:45
Maitama,3,180000000,Apartment,Apartment,3bdrm Apartment in Maitama District for rent,2026-05-30 13:30:45
Utako,3,8500000,Apartment,Apartment,3bdrm Apartment in Utako District for rent,2026-05-30 13:30:45
Wuye,3,10000000,Apartment,Apartment,3bdrm Apartment in Wuye District for rent,2026-05-30 13:30:45
Jabi,3,22000000,Duplex,Terraced Duplex,3bdrm Townhouse / Terrace in Main Jabi for rent,2026-05-30 13:30:45
Life Camp,4,15000000,Duplex,Detached Duplex,4bdrm Duplex in Jabi Life Camp for rent,2026-05-30 13:30:45
Maitama,2,15000000,House,House,2bdrm Bungalow in Maitama for rent,2026-05-30 13:30:45
Jabi,2,22000000,Apartment,Apartment,Furnished 2bdrm Apartment in Main Jabi for rent,2026-05-30 13:30:45
Utako,3,8500000,Apartment,Apartment,3bdrm Apartment in Utako District for rent,2026-05-30 13:30:54
Wuye,3,10000000,Apartment,Apartment,3bdrm Apartment in Wuye District for rent,2026-05-30 13:30:54
Jabi,3,22000000,Duplex,Terraced Duplex,3bdrm Townhouse / Terrace in Main Jabi for rent,2026-05-30 13:30:54
Jabi,3,15000000,Duplex,Detached Duplex,3bdrm Duplex in Jabi for rent,2026-05-30 13:30:54
Life Camp,4,15000000,Duplex,Detached Duplex,4bdrm Duplex in Jabi Life Camp for rent,2026-05-30 13:30:54
Jabi,2,22000000,Apartment,Apartment,Furnished 2bdrm Apartment in Main Jabi for rent,2026-05-30 13:30:54
Maitama,2,15000000,House,House,2bdrm Bungalow in Maitama for rent,2026-05-30 13:30:54
Maitama,2,25000000,Apartment,Apartment,2bdrm Apartment in Main Maitama for rent,2026-05-30 13:30:54
Maitama,5,140000000,Duplex,Detached Duplex,5bdrm Duplex in Maitama District for rent,2026-05-30 13:30:54
Jabi,4,22000000,Duplex,Terraced Duplex,4bdrm Townhouse / Terrace in Main Jabi for rent,2026-05-30 13:30:54
Jahi,2,8000000,Apartment,Apartment,2bdrm Apartment in Jahi Gimoh for rent,2026-05-30 13:30:54
Jabi,2,160000000,Apartment,Apartment,Furnished 2bdrm Apartment in Jabi for rent,2026-05-30 13:30:54
Wuye,3,13000000,Apartment,Apartment,3bdrm Apartment in Main Wuye for rent,2026-05-30 13:30:54
Wuye,4,25000000,Duplex,Terraced Duplex,4bdrm Townhouse / Terrace in Wuye District for rent,2026-05-30 13:30:54
Wuye,3,15000000,Duplex,Terraced Duplex,3bdrm Townhouse / Terrace in Wuye District for rent,2026-05-30 13:30:54
Wuye,3,10000000,Apartment,Apartment,3bdrm Apartment in Wuye District for rent,2026-05-30 13:30:54
Wuye,3,10000000,Apartment,Apartment,3bdrm Apartment in Main  Wuye for rent,2026-05-30 13:30:54
Life Camp,4,15000000,Duplex,Detached Duplex,4bdrm Duplex in Life Camp for rent,2026-05-30 13:30:54
Jahi,3,72000000,Apartment,Apartment,3bdrm Apartment in Main Jahi for rent,2026-05-30 13:30:54
Jabi,4,180000000,House,House,4bdrm Bedsitter in Jabi District for rent,2026-05-30 13:30:54
Maitama,3,180000000,Apartment,Apartment,3bdrm Apartment in Maitama District for rent,2026-05-30 13:30:54
Gudu,3,65000000,House,House,3bdrm House in Gudu for rent,2026-05-30 13:31:02
Gwarinpa,4,17000000,Duplex,Detached Duplex,"4bdrm Duplex in Gwarimpa Estate Fct, Gwarinpa for rent",2026-05-30 13:31:02
Kubwa,1,1200000,Apartment,Self Contain,"Furnished Studio Apartment in F01, Kubwa for rent",2026-05-30 13:31:02
Kubwa,4,7500000,Duplex,Detached Duplex,"Furnished 4bdrm Duplex in F01, Kubwa for rent",2026-05-30 13:31:02
Jabi,4,180000000,House,House,4bdrm Bedsitter in Jabi District for rent,2026-05-30 13:31:02
Mabushi,5,200000000,Duplex,Detached Duplex,5bdrm Duplex in Mabushi Close To for rent,2026-05-30 13:31:02
Asokoro,3,35000000,Apartment,Apartment,3bdrm Block of Flats in Asokoro for rent,2026-05-30 13:31:02
Maitama,3,180000000,Apartment,Apartment,3bdrm Apartment in Maitama District for rent,2026-05-30 13:31:02
Asokoro,2,26000000,Apartment,Apartment,Furnished 2bdrm Apartment in Asokoro for rent,2026-05-30 13:31:02
Wuye,5,30000000,Duplex,Detached Duplex,5bdrm Duplex in Wuye for rent,2026-05-30 13:31:02
Life Camp,2,6000000,Apartment,Apartment,"2bdrm Block of Flats in Paradise Estate, Life Camp for rent",2026-05-30 13:31:02
Life Camp,3,10000000,Duplex,Detached Duplex,3bdrm Duplex in Life Camp for rent,2026-05-30 13:31:09
Mabushi,4,15000000,Duplex,Terraced Duplex,4bdrm Townhouse / Terrace in Mabushi for rent,2026-05-30 13:31:09
Jahi,3,20000000,Apartment,Apartment,Furnished 3bdrm Block of Flats in Jahi for rent,2026-05-30 13:31:09
Galadimawa,4,10000000,Duplex,Detached Duplex,4bdrm Duplex in Galadimawa for rent,2026-05-30 13:31:09
Wuye,6,25000000,Duplex,Detached Duplex,"Furnished 6bdrm Duplex in Jessy Street, Wuye for rent",2026-05-30 13:31:09
Jahi,3,15000000,Apartment,Apartment,3bdrm Apartment in Jahi Gilmore for rent,2026-05-30 13:31:09
Maitama,5,44999999,Duplex,Detached Duplex,5bdrm Duplex in Maitama for rent,2026-05-30 13:31:09
Jahi,3,10000000,Apartment,Apartment,"Furnished 3bdrm Block of Flats in Gilmo, Jahi for rent",2026-05-30 13:31:09
Katampe,4,25000000,Duplex,Terraced Duplex,4bdrm Townhouse / Terrace in Katampe for rent,2026-05-30 13:31:09
Gwarinpa,1,3450000,Apartment,Self Contain,Furnished Studio Apartment in Gwarinpa for rent,2026-05-30 13:31:09
Wuye,4,25000000,Duplex,Terraced Duplex,4bdrm Townhouse / Terrace in Wuye for rent,2026-05-30 13:31:09
Kaura,3,5000000,Apartment,Apartment,3bdrm Block of Flats in Kaura for rent,2026-05-30 13:31:09
Maitama,3,25000000,Apartment,Apartment,Furnished 3bdrm Apartment in Maitama for rent,2026-05-30 13:31:09
Mabushi,4,20000000,Duplex,Detached Duplex,4bdrm Duplex in Mabushi for rent,2026-05-30 13:31:15
Maitama,3,25000000,Duplex,Detached Duplex,"Furnished 3bdrm Duplex in Wikki Estate, Maitama for rent",2026-05-30 13:31:15
Katampe,5,25000000,Duplex,Detached Duplex,"5bdrm Duplex in Nuggy, Katampe for rent",2026-05-30 13:31:15
Wuye,3,150000000,Apartment,Apartment,3bdrm Apartment in Wuye for rent,2026-05-30 13:31:15
Maitama,5,50000000,Duplex,Detached Duplex,Furnished 5bdrm Duplex in Maitama for rent,2026-05-30 13:31:15
Asokoro,4,18000000,Duplex,Detached Duplex,"4bdrm Duplex in Naf Valley Estate, Asokoro for rent",2026-05-30 13:31:15
Kado,4,19999999,Duplex,Terraced Duplex,4bdrm Townhouse / Terrace in Kado for rent,2026-05-30 13:31:15
Life Camp,1,3000000,House,House,1bdrm Room & Parlour in After Berger Clinic for rent,2026-05-30 13:31:15
Durumi,4,12000000,Duplex,Detached Duplex,4bdrm Duplex in Durumi for rent,2026-05-30 13:31:15
Maitama,1,5000000,House,House,1bdrm Room & Parlour in Maitama for rent,2026-05-30 13:31:15
Wuye,2,6500000,Apartment,Apartment,2bdrm Block of Flats in Wuye for rent,2026-05-30 13:31:15
Jahi,2,22000000,Apartment,Apartment,Furnished 2bdrm Apartment in Jahi for rent,2026-05-30 13:31:15
Gwarinpa,5,10000000,Duplex,Detached Duplex,"5bdrm Duplex in Orange Estate Off, Gwarinpa for rent",2026-05-30 13:31:15
Mabushi,4,15000000,Duplex,Detached Duplex,4bdrm Duplex in Mabushi for rent,2026-05-30 13:31:15
Jahi,4,13000000,Duplex,Detached Duplex,"4bdrm Duplex in Grace Bovlevard, Jahi for rent",2026-05-30 13:31:22
Durumi,4,12000000,Duplex,Detached Duplex,4bdrm Duplex in Durumi for rent,2026-05-30 13:31:22
Mabushi,2,8000000,Apartment,Apartment,2bdrm Apartment in Mabushi Abuja for rent,2026-05-30 13:31:22
Maitama,6,100000000,Duplex,Detached Duplex,6bdrm Duplex in Maitama for rent,2026-05-30 13:31:22
Gwarinpa,1,790500,Apartment,Self Contain,Furnished Studio Apartment in Gwarinpa for rent,2026-05-30 13:31:22
Maitama,3,200000000,Apartment,Apartment,3bdrm Block of Flats in Maitama for rent,2026-05-30 13:31:22
Utako,3,15000000,Duplex,Detached Duplex,3bdrm Duplex in Utako for rent,2026-05-30 13:31:22
Maitama,4,40000000,Duplex,Terraced Duplex,Furnished 4bdrm Townhouse / Terrace in Maitama for rent,2026-05-30 13:31:22
Wuye,2,15000000,Apartment,Apartment,Furnished 2bdrm Block of Flats in Wuye for rent,2026-05-30 13:31:22
Kubwa,4,9000000,Duplex,Detached Duplex,Furnished 4bdrm Duplex in Hill View Community for rent,2026-05-30 13:31:22
Jabi,3,200000000,Apartment,Apartment,3bdrm Apartment in Jabi for rent,2026-05-30 13:31:22
Maitama,5,28000000,Duplex,Detached Duplex,5bdrm Duplex in Maitama for rent,2026-05-30 13:31:22
Life Camp,1,3500000,House,House,"1bdrm Room & Parlour in Gwarimpa 6Th Avenue, Life Camp for rent",2026-05-30 13:31:22
Life Camp,1,2000000,Apartment,Apartment,"Mini Flat in Gwarimpa Extension, Life Camp for rent",2026-05-30 13:31:22
Asokoro,4,28000000,Duplex,Detached Duplex,4bdrm Duplex in Asokoro Fct for rent,2026-05-30 13:31:22
Wuye,4,18000000,Duplex,Detached Duplex,4bdrm Duplex in Wuye for rent,2026-05-30 13:31:22
Asokoro,2,5000000,Apartment,Apartment,2bdrm Block of Flats in Asokoro for rent,2026-05-30 13:31:27
Life Camp,1,3500000,House,House,"1bdrm Room & Parlour in Gwarimpa 6Th Avenue, Life Camp for rent",2026-05-30 13:31:27
Life Camp,1,2000000,Apartment,Apartment,"Mini Flat in Gwarimpa Extension, Life Camp for rent",2026-05-30 13:31:27
Asokoro,7,150000000,Duplex,Detached Duplex,Furnished 7bdrm Duplex in Asokoro for rent,2026-05-30 13:31:27
Jabi,2,42000000,Apartment,Apartment,Furnished 2bdrm Block of Flats in Jabi for rent,2026-05-30 13:31:27
Jabi,3,48000000,Apartment,Apartment,Furnished 3bdrm Block of Flats in Jabi for rent,2026-05-30 13:31:27
Jabi,5,60000000,Duplex,Detached Duplex,5bdrm Duplex in Jabi for rent,2026-05-30 13:31:27
Maitama,3,45000000,Duplex,Terraced Duplex,3bdrm Townhouse / Terrace in Maitama for rent,2026-05-30 13:31:27
Mabushi,4,15000000,Apartment,Apartment,4bdrm Block of Flats in Mabushi for rent,2026-05-30 13:31:27
Wuye,4,20000000,Duplex,Detached Duplex,Furnished 4bdrm Duplex in Wuye for rent,2026-05-30 13:31:27
Idu,3,6000000,Apartment,Apartment,3bdrm Apartment in Idu for rent,2026-05-30 13:31:27
Kubwa,2,2500000,House,House,2bdrm Bungalow in Kubwa for rent,2026-05-30 13:31:27
Jahi,5,17000000,Duplex,Detached Duplex,"5bdrm Duplex in Jahi Gilmore,Fct for rent",2026-05-30 13:31:27
Gwarinpa,3,10000000,Duplex,Detached Duplex,"3bdrm Duplex in Gwarimpa Estate,Fct, Gwarinpa for rent",2026-05-30 13:31:27
Idu,2,4000000,Apartment,Apartment,2bdrm Block of Flats in Idu Main for rent,2026-05-30 13:31:27
Mabushi,1,7000000,Apartment,Apartment,Furnished 1bdrm Block of Flats in Mabushi for rent,2026-05-30 13:31:27
Kubwa,4,5000000,Duplex,Detached Duplex,"Furnished 4bdrm Duplex in F01, Kubwa for rent",2026-05-30 13:31:27
Jahi,4,15000000,Duplex,Detached Duplex,4bdrm Duplex in Jahi Gilmore Very for rent,2026-05-30 13:31:33
Life Camp,4,15000000,Duplex,Detached Duplex,4bdrm Duplex in Jabi Life Camp for rent,2026-05-30 13:31:33
Jabi,2,22000000,Apartment,Apartment,Furnished 2bdrm Apartment in Main Jabi for rent,2026-05-30 13:31:33
Jahi,2,12000000,Apartment,Apartment,Furnished 2bdrm Apartment in Jahi Gilmore for rent,2026-05-30 13:31:33
Jahi,2,7000000,Apartment,Apartment,2bdrm Apartment in Main Jahi for rent,2026-05-30 13:31:33
Asokoro,4,25000000,Duplex,Terraced Duplex,4bdrm Townhouse / Terrace in Asokoro for rent,2026-05-30 13:31:33
Maitama,4,25000000,Duplex,Terraced Duplex,4bdrm Townhouse / Terrace in Maitama for rent,2026-05-30 13:31:33
Life Camp,2,6000000,Apartment,Apartment,2bdrm Block of Flats in Life  Camp  Estate for rent,2026-05-30 13:31:33
Jabi,2,160000000,Apartment,Apartment,Furnished 2bdrm Apartment in Jabi for rent,2026-05-30 13:31:33
Wuye,3,10500000,Apartment,Apartment,3bdrm Block of Flats in Main Wuye for rent,2026-05-30 13:31:33
Kubwa,2,4000000,Apartment,Apartment,"Furnished 2bdrm Block of Flats in F01, Kubwa for rent",2026-05-30 13:31:33
Galadimawa,4,8000000,Duplex,Detached Duplex,"Furnished 4bdrm Duplex in Spring Boulevard, Galadimawa for rent",2026-05-30 13:31:33
Kubwa,2,3500000,Apartment,Apartment,"Furnished 2bdrm Block of Flats in F01, Kubwa for rent",2026-05-30 13:31:33
Life Camp,2,9000000,Apartment,Apartment,Furnished 2bdrm Apartment in Lifecamp for rent,2026-05-30 13:31:33
Asokoro,4,25000000,Duplex,Detached Duplex,4bdrm Duplex in Asokoro for rent,2026-05-30 13:31:39
Maitama,4,50000000,Duplex,Terraced Duplex,Furnished 4bdrm Townhouse / Terrace in Maitama for rent,2026-05-30 13:31:39
Maitama,1,27000000,Apartment,Apartment,Furnished 1bdrm Apartment in Maitama for rent,2026-05-30 13:31:39
