Property Type,Price (Per Annum),Location
2 bedroom flat / apartment for rent,"₦6,000,000","Off Aminu Kano, Wuse 2, Abuja"
5 bedroom detached duplex for rent,"₦100,000,000","Maitama District, Abuja"
4 bedroom terraced duplex for rent,"₦15,000,000","Jahi, Abuja"
3 bedroom house for rent,"₦8,500,000","Kukwaba, Abuja"
5 bedroom terraced duplex for rent,"₦15,000,000","Guzape District, Abuja"
3 bedroom flat / apartment for rent,"₦10,000,000","Jahi, Abuja"
3 bedroom semi-detached duplex for rent,"₦4,000,000","F14, Kubwa, Abuja"
2 bedroom flat / apartment for rent,"₦13,000,000","Off Amino Kano, Wuse 2, Abuja"
3 bedroom terraced duplex for rent,"$35,000","Maitama District, Abuja"
3 bedroom flat / apartment for rent,"₦8,000,000","Wuye Main By Zartech(tarred Rd, Wuye, Abuja"
4 bedroom terraced duplex for rent,"₦190,000,000","Maitama District, Abuja"
2 bedroom flat / apartment for rent,"₦8,000,000","Durumi, Abuja"
1 bedroom flat / apartment for rent,"₦6,000,000","Maitama District, Abuja"
4 bedroom terraced duplex for rent,"₦25,000,000","Wuye, Abuja"
3 bedroom flat / apartment for rent,"₦6,000,000","By Capital Hub( Tarred Rd), Mabushi, Abuja"
4 bedroom terraced duplex for rent,"₦13,000,000","Life Camp, Abuja"
3 bedroom flat / apartment for rent,"₦8,000,000","Jabi, Abuja"
3 bedroom block of flats for rent,"₦75,000,000","Jahi, Abuja"
2 bedroom flat / apartment for rent,"₦5,000,000","Life Camp, Abuja"
4 bedroom semi-detached duplex for rent,"₦8,000,000","Lokogoma District, Abuja"
3 bedroom house for rent,"₦8,000,000","Close To Vio, Mabushi, Abuja"
2 bedroom flat / apartment for rent,"₦20,000,000","Villa, Asokoro District, Abuja"
5 bedroom detached duplex for rent,"₦50,000,000","Maitama District, Abuja"
6 bedroom detached duplex for rent,"₦30,000,000","Asokoro District, Abuja"
4 bedroom detached duplex for rent,"₦8,000,000","Hillside Estate, Dawaki, Gwarinpa, Abuja"
2 bedroom flat / apartment for rent,"₦8,000,000","Jahi, Abuja"
3 bedroom detached duplex for rent,"₦50,000,000","Maitama District, Abuja"
2 bedroom flat / apartment for rent,"₦8,000,000","Jahi, Abuja"
2 bedroom flat / apartment for rent,"₦6,500,000","Jahi, Abuja"
8 bedroom detached duplex for rent,"₦180,000,000","Maitama District, Abuja"
6 bedroom detached duplex for rent,"₦35,000,000","Asokoro District, Abuja"
3 bedroom flat / apartment for rent,"₦8,000,000","Jabi, Abuja"
3 bedroom flat / apartment for rent,"₦12,000,000","Gilmore, Jahi, Abuja"
Conference / meeting / training room for rent,"₦200,000","Kumasi Crescent, Wuse 2, Abuja"
2 bedroom flat / apartment for rent,"₦8,000,000","6, David Iyimogah, Brains And Hammers City Eatate, Life Camp, Abuja"
1 bedroom mini flat (room and parlour) for rent,"₦2,700,000","Gishiri Village, Katampe (Main), Katampe, Abuja"
Self contain (single rooms) for rent,"₦2,000,000","Utako, Abuja"
3 bedroom detached bungalow for rent,"₦15,000,000","Suncity, Galadimawa, Abuja"
5 bedroom detached duplex for rent,"₦15,000,000","Kings Park Estate, Kukwaba, Abuja"
3 bedroom flat / apartment for rent,"₦5,000,000","Sunnyvale Road, Lokogoma District, Abuja"
2 bedroom flat / apartment for rent,"₦2,500,000","By 2/1 Garden, Kubwa, Abuja"
4 bedroom semi-detached duplex for rent,"₦15,000,000","Jahi, Abuja"
4 bedroom terraced duplex for rent,"₦13,000,000","Mabushi, Abuja"
5 bedroom detached duplex for rent,"₦25,000,000","Katampe (Main), Katampe, Abuja"
4 bedroom semi-detached duplex for rent,"₦30,000,000","Garki, Abuja"
2 bedroom flat / apartment for rent,"₦6,000,000","By American International School, Durumi, Abuja"
5 bedroom terraced duplex for rent,"₦10,000,000","Gaduwa, Abuja"
5 bedroom detached duplex for rent,"₦35,000,000","Guzape District, Abuja"
4 bedroom detached duplex for rent,"₦30,000,000","Wonderland Estate, Kukwaba, Abuja"
2 bedroom house for rent,"₦6,500,000","Wuye, Abuja"
4 bedroom terraced duplex for rent,"₦12,000,000","Mabushi, Abuja"
2 bedroom flat / apartment for rent,"₦8,000,000","Gilmor Tarred Road, Fct., Jahi, Abuja"
1 bedroom flat / apartment for rent,"₦9,000,000","Wuse, Abuja"
4 bedroom terraced duplex for rent,"₦12,000,000","Mabushi, Abuja"
Conference / meeting / training room for rent,"₦200,000","Kumasi Crescent, Wuse 2, Abuja"
3 bedroom flat / apartment for rent,"₦5,000,000","Life Camp, Abuja"
3 bedroom flat / apartment for rent,"₦4,500,000","Expressway,after Glory Dome, Lugbe District, Abuja"
2 bedroom semi-detached duplex for rent,"₦6,000,000","Von Axis, Lugbe District, Abuja"
3 bedroom terraced duplex for rent,"₦8,500,000","By Living Faith Church, Dawaki, Gwarinpa, Abuja"
4 bedroom terraced duplex for rent,"₦6,500,000","Dawaki District, Dawaki, Gwarinpa, Abuja"
1 bedroom flat / apartment for rent,"₦4,500,000","Utako District, Utako, Abuja"
5 bedroom terraced duplex for rent,"$40,000,000","Maitama District, Abuja"
5 bedroom detached duplex for rent,"₦35,000,000","Guzape District, Abuja"
4 bedroom terraced duplex for rent,"₦20,000,000","Guzape District, Abuja"
3 bedroom flat / apartment for rent,"₦5,500,000","Idu Industrial, Abuja"
3 bedroom flat / apartment for rent,"₦7,500,000","Area 3, Garki, Abuja"
3 bedroom flat / apartment for rent,"₦12,000,000","Wuye Main(tarred Rd), Wuye, Abuja"
5 bedroom detached duplex for rent,"₦80,000,000","Guzape District, Abuja"
3 bedroom flat / apartment for rent,"₦8,000,000","By New Maitama Bridge, Katampe (Main), Katampe, Abuja"
5 bedroom detached duplex for rent,"₦75,000,000","Wuse 2, Abuja"
5 bedroom detached duplex for rent,"₦50,000,000","Wuse 2, Abuja"
2 bedroom house for rent,"₦3,000,000","Angle 90 Estate, Pyakasa, Lugbe District, Abuja"
4 bedroom terraced duplex for rent,"₦13,000,000","Prince Court Estate, Katampe (Main), Katampe, Abuja"
2 bedroom semi-detached bungalow for rent,"₦2,500,000","After Goshen Villa, Pyakasa, Lugbe District, Abuja"
3 bedroom flat / apartment for rent,"₦7,000,000","Wuye, Abuja"
1 bedroom flat / apartment for rent,"₦9,000,000","Maitama District, Abuja"
2 bedroom flat / apartment for rent,"₦5,500,000","By Living Faith, Katampe (Main), Katampe, Abuja"
3 bedroom flat / apartment for rent,"₦7,000,000","Jahi, Abuja"
4 bedroom terraced duplex for rent,"₦15,000,000","By Living Faith, Katampe (Main), Katampe, Abuja"
3 bedroom flat / apartment for rent,"₦7,500,000","Apo, Abuja"
3 bedroom flat / apartment for rent,"₦4,000,000","Von Axis, Lugbe District, Abuja"
6 bedroom detached duplex for rent,"₦35,000,000","Katampe Extension, Katampe, Abuja"
Commercial property for rent,"₦3,500,000","By Blu Cabana, Mabushi, Abuja"
4 bedroom semi-detached duplex for rent,"₦15,000,000","Life Camp, Abuja"
5 bedroom detached duplex for rent,"₦15,000,000","King's Park Estate, Kukwaba, Abuja"
2 bedroom flat / apartment for rent,"₦6,000,000","By American International School, Durumi, Abuja"
3 bedroom flat / apartment for rent,"₦10,000,000","Gilmore, Jahi, Abuja"
4 bedroom terraced duplex for rent,"₦20,000,000","Jahi, Abuja"
4 bedroom detached duplex for rent,"₦7,000,000","By Jedo, Lugbe District, Abuja"
2 bedroom flat / apartment for rent,"₦4,200,000","Katampe, Abuja"
4 bedroom terraced duplex for rent,"₦15,000,000","Adjacent Godab, Life Camp, Abuja"
4 bedroom detached duplex for rent,"₦12,000,000","Cluster 5, River Park Estate Airport Road, Lugbe District, Abuja"
5 bedroom detached duplex for rent,"₦30,000,000","By Emirate Estate, Katampe, Abuja"
2 bedroom flat / apartment for rent,"₦5,500,000","By Jahi Living Faith Church, Katampe, Abuja"
3 bedroom detached bungalow for rent,"₦7,000,000","Standard Estate, Galadimawa, Abuja"
3 bedroom detached bungalow for rent,"₦12,000,000","Suncity Estate, Galadimawa, Abuja"
1 bedroom flat / apartment for rent,"₦9,000,000","Maitama District, Abuja"
3 bedroom house for rent,"₦120,000,000","Wuse 2, Abuja"
4 bedroom detached duplex for rent,"₦14,000,000","Suncity Estate, Galadimawa, Abuja"
4 bedroom terraced duplex for rent,"₦17,000,000","Off Nicon Junction, Katampe, Abuja"
4 bedroom terraced duplex for rent,"₦10,000,000","Legislative Quarters, Gudu, Apo, Abuja"
2 bedroom flat / apartment for rent,"₦20,000,000","Wuye, Abuja"
4 bedroom semi-detached duplex for rent,"₦7,500,000","Von Axis, Lugbe District, Abuja"
4 bedroom terraced duplex for rent,"₦20,000,000","By Vio, Mabushi, Abuja"
4 bedroom terraced duplex for rent,"₦10,000,000","Legislative Quarters, Gudu, Abuja"
2 bedroom flat / apartment for rent,"₦23,000,000","Main Asokoro, Asokoro District, Abuja"
1 bedroom mini flat (room and parlour) for rent,"₦18,000,000","Main, Asokoro District, Abuja"
4 bedroom terraced duplex for rent,"₦16,000,000","Guzape District, Abuja"
4 bedroom semi-detached duplex for rent,"₦6,000,000","Galadimawa, Abuja"
3 bedroom detached bungalow for rent,"₦6,000,000","Galadimawa, Abuja"
3 bedroom terraced duplex for rent,"₦5,000,000","Kafe District, Life Camp, Abuja"
5 bedroom terraced duplex for rent,"₦70,000,000","Wuse 2, Abuja"
2 bedroom flat / apartment for rent,"₦8,500,000","Jahi, Abuja"
3 bedroom flat / apartment for rent,"₦7,000,000","Wuye, Abuja"
5 bedroom detached duplex for rent,"₦45,000,000","Naf Valley Estate, Asokoro District, Abuja"
4 bedroom flat / apartment for rent,"₦25,000,000","Guzape District, Abuja"
1 bedroom flat / apartment for rent,"₦7,000,000","Kwame Nkrumah Crescent, Asokoro District, Abuja"
1 bedroom flat / apartment for rent,"₦6,000,000","Maitama District, Abuja"
3 bedroom flat / apartment for rent,"₦5,000,000","By Berger Clinic, Life Camp, Abuja"
5 bedroom detached duplex for rent,"₦30,000,000","Asokoro District, Abuja"
3 bedroom flat / apartment for rent,"₦7,000,000","Wuye, Abuja"
2 bedroom terraced duplex for rent,"₦5,000,000","By Berger Clinic, Life Camp, Abuja"
5 bedroom terraced duplex for rent,"₦25,000,000","Wuye, Abuja"
3 bedroom semi-detached bungalow for rent,"₦17,500,000","Zone 3, Wuse, Abuja"
4 bedroom semi-detached duplex for rent,"₦6,500,000","Von Axis, Lugbe District, Abuja"
5 bedroom detached duplex for rent,"₦35,000,000","Guzape District, Abuja"
4 bedroom terraced duplex for rent,"₦25,000,000","Diplomatic Zone, Guzape District, Abuja"
3 bedroom flat / apartment for rent,"₦6,000,000","Before Utc, Area 10, Garki, Abuja"
7 bedroom detached duplex for rent,"₦100,000,000","Maitama District, Abuja"
3 bedroom detached bungalow for rent,"₦4,500,000","Sahara Estate, Lokogoma District, Abuja"
2 bedroom flat / apartment for rent,"₦7,500,000","Katampe (Main), Katampe, Abuja"
3 bedroom flat / apartment for rent,"₦7,500,000","Apo-dutse By Cedarcrest Hospital, Apo, Abuja"
5 bedroom detached duplex for rent,"₦150,000,000","Maitama District, Abuja"
5 bedroom detached duplex for rent,"₦30,000,000","Asokoro District, Abuja"
6 bedroom terraced duplex for rent,"₦25,000,000","Katampe (Main), Katampe, Abuja"
4 bedroom terraced duplex for rent,"₦10,000,000","Kado, Abuja"
4 bedroom terraced duplex for rent,"₦17,000,000","Federal Capital, Katampe (Main), Katampe, Abuja"
4 bedroom terraced duplex for rent,"₦20,000,000","Kado, Abuja"
1 bedroom flat / apartment for rent,"₦6,000,000","Maitama District, Abuja"
7 bedroom detached duplex for rent,"₦80,000,000","Maitama District, Abuja"
2 bedroom flat / apartment for rent,"₦8,000,000","Von Axis, Lugbe District, Abuja"
2 bedroom flat / apartment for rent,"₦3,500,000","Von Road, Lugbe District, Abuja"
4 bedroom terraced duplex for rent,"₦20,000,000","Wuye, Abuja"
6 bedroom terraced duplex for rent,"₦20,000,000","Wuye, Abuja"
6 bedroom detached duplex for rent,"₦30,000,000","Maitama 2, Maitama District, Abuja"
5 bedroom terraced duplex for rent,"₦18,000,000","Jahi, Abuja"
1 bedroom flat / apartment for rent,"₦3,000,000","Off Amino Kano, Wuse 2, Abuja"
3 bedroom terraced duplex for rent,"₦10,000,000","Von Axis, Lugbe District, Abuja"
2 bedroom detached bungalow for rent,"₦10,000,000","Asokoro District, Abuja"
14 bedroom detached duplex for rent,"₦250,000,000","Wuse 2, Abuja"
3 bedroom flat / apartment for rent,"$40,000","Maitama District, Abuja"
3 bedroom terraced duplex for rent,"₦13,000,000","Asokoro District, Abuja"
2 bedroom semi-detached duplex for rent,"₦4,500,000","Von Estate Road, Lugbe District, Abuja"
4 bedroom semi-detached duplex for rent,"₦20,000,000","Kado, Abuja"
4 bedroom terraced duplex for rent,"₦9,000,000","Life Camp, Abuja"
Self contain (single rooms) for rent,"₦2,000,000","Katampe Main, Katampe, Abuja"
1 bedroom flat / apartment for rent,"₦3,000,000","Cluster 3, River Park Estate Airport Road, Lugbe District, Abuja"
8 bedroom detached duplex for rent,"₦120,000,000","Asokoro District, Abuja"
2 bedroom house for rent,"₦6,500,000","Jahi, Abuja"
1 bedroom flat / apartment for rent,"₦6,000,000","Maitama District, Abuja"
4 bedroom detached duplex for rent,"₦8,000,000","By Minister Quarters, Life Camp, Abuja"
2 bedroom house for rent,"₦3,000,000","FO1 Layout, Kubwa, Abuja"
3 bedroom house for rent,"₦7,500,000","Jahi Main, Jahi, Abuja"
Office space for rent,"₦6,500,000","Off Ademola, Wuse 2, Abuja"
16 bedroom commercial property for rent,"₦40,000,000","Wuse Zone, Wuse, Abuja"
2 bedroom flat / apartment for rent,"₦6,000,000","Life Camp, Abuja"
2 bedroom flat / apartment for rent,"₦15,000,000","Wuye, Abuja"
3 bedroom flat / apartment for rent,"₦3,500,000","Life Camp, Abuja"
3 bedroom terraced duplex for rent,"₦15,000,000","Gilmore, Jahi, Abuja"
3 bedroom flat / apartment for rent,"₦30,000,000","Maitama District, Abuja"
3 bedroom flat / apartment for rent,"₦15,000,000","Guzape District, Abuja"
3 bedroom flat / apartment for rent,"₦8,000,000","Garki, Abuja"
5 bedroom detached duplex for rent,"₦60,000,000","Guzape District, Abuja"
1 bedroom flat / apartment for rent,"₦2,000,000","Guzape District, Abuja"
2 bedroom flat / apartment for rent,"₦8,000,000","Gilmore Axis., Jahi, Abuja"
3 bedroom flat / apartment for rent,"₦7,000,000","Wuse, Abuja"
2 bedroom flat / apartment for rent,"₦9,000,000","Guzape District, Abuja"
4 bedroom terraced duplex for rent,"₦12,500,000","Guzape District, Abuja"
3 bedroom flat / apartment for rent,"₦5,000,000","Wuse, Abuja"
2 bedroom terraced duplex for rent,"₦7,000,000","Asokoro District, Abuja"
1 bedroom flat / apartment for rent,"₦6,000,000","Maitama District, Abuja"
3 bedroom detached bungalow for rent,"₦6,000,000","By Sahara 4, Lokogoma District, Abuja"
1 bedroom flat / apartment for rent,"₦1,500,000","Arab, Kubwa, Abuja"
4 bedroom terraced duplex for rent,"₦15,000,000","Dakibiyu, Abuja"
4 bedroom terraced duplex for rent,"₦20,000,000","Katampe, Abuja"
4 bedroom terraced duplex for rent,"₦20,000,000","Katampe, Abuja"
2 bedroom flat / apartment for rent,"₦5,000,000","By Efab, Gwarinpa, Abuja"
3 bedroom flat / apartment for rent,"₦12,000,000","Gilmore, Jahi, Abuja"
Office space for rent,"₦150,000","Garki, Abuja"
2 bedroom flat / apartment for rent,"₦4,500,000","Berger Clinic, Life Camp, Abuja"
3 bedroom flat / apartment for rent,"₦5,500,000","By Berger Clinic, Life Camp, Abuja"
5 bedroom terraced duplex for rent,"₦20,000,000","By Gilmore, Jahi, Abuja"
3 bedroom flat / apartment for rent,"₦17,000,000","Mabushi, Abuja"
3 bedroom flat / apartment for rent,"₦8,000,000","Garki, Abuja"
4 bedroom house for rent,"₦35,000,000","Jabi, Abuja"
4 bedroom terraced duplex for rent,"₦35,000,000","Main Jabi, Jabi, Abuja"
4 bedroom semi-detached duplex for rent,"₦18,000,000","Naf Valley Estate, Asokoro District, Abuja"
Office space for rent,"₦5,500,000","By Vio, Mabushi, Abuja"
3 bedroom terraced duplex for rent,"₦17,000,000","Jabi, Abuja"
3 bedroom flat / apartment for rent,"₦13,000,000","Off Amino Kano, Wuse 2, Abuja"
Commercial property for rent,"₦12,000,000","Mabushi, Abuja"
1 bedroom flat / apartment for rent,"₦6,000,000","Maitama District, Abuja"
4 bedroom detached duplex for rent,"₦15,000,000","Jabi, Abuja"
5 bedroom detached duplex for rent,"₦22,000,000","Jahi, Abuja"
Office space for rent,"₦6,000,000","Gwarinpa Main, Gwarinpa, Abuja"
5 bedroom terraced duplex for rent,"₦15,000,000","Katampe Extension, Katampe, Abuja"
3 bedroom terraced duplex for rent,"₦15,000,000","Wuye, Abuja"
2 bedroom flat / apartment for rent,"₦5,000,000","Garki, Abuja"
6 bedroom detached duplex for rent,"₦100,000,000","Off Ademola, Wuse 2, Abuja"
1 bedroom mini flat (room and parlour) for rent,"₦4,000,000","Karsana, Gwarinpa, Abuja"
1 bedroom mini flat (room and parlour) for rent,"₦7,000,000","Katampe, Abuja"
1 bedroom mini flat (room and parlour) for rent,"₦6,500,000","Gilmore, Jahi, Abuja"
3 bedroom flat / apartment for rent,"₦120,000,000","Katampe, Abuja"
3 bedroom flat / apartment for rent,"₦10,000,000","Zone 6, Wuse, Abuja"
4 bedroom terraced duplex for rent,"₦35,000,000","Guzape District, Abuja"
4 bedroom semi-detached bungalow for rent,"₦5,500,000","Galadimawa, Abuja"
4 bedroom semi-detached duplex for rent,"₦15,000,000","After Banex Bridge And Opposite Bus Terminal, Mabushi, Abuja"
5 bedroom detached duplex for rent,"₦60,000,000","Clement Akpamgbo Close,, Guzape District, Abuja"
4 bedroom terraced duplex for rent,"₦23,000,000","Diplomatic Zone, Katampe Extension, Katampe, Abuja"
2 bedroom house for rent,"₦8,500,000","Jahi, Abuja"
2 bedroom house for rent,"₦3,500,000","FO1 Layout, Kubwa, Abuja"
4 bedroom terraced duplex for rent,"₦5,000,000","Behind Dunamis, Lugbe District, Abuja"
Conference / meeting / training room for rent,"₦200,000","Kumasi Crescent, Wuse 2, Abuja"
2 bedroom house for rent,"₦2,000,000","Liberty Junction, Kubwa, Abuja"
5 bedroom detached duplex for rent,"₦30,000,000","By Coza, Guzape District, Abuja"
4 bedroom terraced duplex for rent,"₦10,000,000","Gaduwa, Abuja"
5 bedroom detached duplex for rent,"₦25,000,000","Gwarinpa, Abuja"
3 bedroom house for rent,"₦30,000,000","Wuse 2, Abuja"
2 bedroom terraced duplex for rent,"₦9,000,000","Lokogoma District, Abuja"
2 bedroom flat / apartment for rent,"₦7,000,000","Asokoro District, Abuja"
4 bedroom terraced duplex for rent,"₦15,000,000","Guzape District, Abuja"
4 bedroom terraced duplex for rent,"₦30,000,000","Guzape District, Abuja"
4 bedroom terraced duplex for rent,"₦15,000,000","Guzape District, Abuja"
4 bedroom house for rent,"₦35,000,000","Guzape District, Abuja"
1 bedroom flat / apartment for rent,"₦1,000,000","Lokogoma District, Abuja"
4 bedroom semi-detached duplex for rent,"₦13,000,000","Gwarinpa, Abuja"
2 bedroom detached bungalow for rent,"₦2,500,000","Lokogoma District, Abuja"
5 bedroom terraced duplex for rent,"₦22,000,000","Jahi, Abuja"
4 bedroom terraced duplex for rent,"₦15,000,000","Jabi, Abuja"
3 bedroom detached duplex for rent,"₦70,000,000","Asokoro District, Abuja"
2 bedroom house for rent,"₦4,000,000","FO1 Layout, Kubwa, Abuja"
4 bedroom terraced duplex for rent,"₦20,000,000","Zone 4, Wuse, Abuja"
4 bedroom terraced duplex for rent,"₦28,000,000","By Hmedix, Guzape District, Abuja"
1 bedroom flat / apartment for rent,"₦9,000,000","Maitama District, Abuja"
3 bedroom flat / apartment for rent,"₦9,000,000","Durumi, Abuja"
4 bedroom terraced duplex for rent,"₦15,000,000","Katampe, Abuja"
4 bedroom terraced duplex for rent,"₦15,000,000","Garki, Abuja"
2 bedroom flat / apartment for rent,"₦4,000,000","Area 2, Garki, Abuja"
2 bedroom flat / apartment for rent,"₦5,000,000","Life Camp, Abuja"
2 bedroom detached bungalow for rent,"₦5,500,000","Life Camp, Abuja"
2 bedroom flat / apartment for rent,"₦20,000,000","Maitama District, Abuja"
4 bedroom semi-detached duplex for rent,"₦27,000,000","Wuse 2, Abuja"
4 bedroom house for rent,"₦30,000,000","Wuse, Abuja"
4 bedroom terraced duplex for rent,"₦16,000,000","Jabi, Abuja"
2 bedroom flat / apartment for rent,"₦8,000,000","Wuse 2, Abuja"
2 bedroom house for rent,"₦4,500,000","Areaa 3, Area 3, Garki, Abuja"
4 bedroom house for rent,"₦12,000,000","Life Camp, Abuja"
3 bedroom detached bungalow for rent,"₦4,500,000","Saraha 2 Estate, Lokogoma District, Abuja"
2 bedroom flat / apartment for rent,"₦12,000,000","Asokoro District, Abuja"
2 bedroom flat / apartment for rent,"₦3,500,000","By Dunamis, Lugbe District, Abuja"
2 bedroom terraced duplex for rent,"₦10,000,000","Katampe (Main), Katampe, Abuja"
7 bedroom semi-detached duplex for rent,"₦30,000,000","Kado Main, Kado, Abuja"
4 bedroom semi-detached duplex for rent,"₦25,000,000","Mabushi, Abuja"
3 bedroom house for rent,"₦20,000,000","Wuye, Abuja"
Conference / meeting / training room for rent,"₦200,000","Kumasi Crescent, Wuse 2, Abuja"
3 bedroom flat / apartment for rent,"₦5,500,000","Paradise 1 Estate, Life Camp, Abuja"
3 bedroom flat / apartment for rent,"₦200,000,000","Shafa, Wuye, Abuja"
3 bedroom house for rent,"₦7,000,000","Katampe (Main), Katampe, Abuja"
Office space for rent,"₦6,000,000","Jezreel Plaza, Mabushi, Abuja"
Self contain (single rooms) for rent,"₦1,500,000","Garki, Abuja"
3 bedroom terraced duplex for rent,"₦15,000,000","Naf Valley Estate, Asokoro District, Abuja"
4 bedroom semi-detached duplex for rent,"₦17,000,000","Mabushi, Abuja"
3 bedroom flat / apartment for rent,"₦13,000,000","Area 2, Garki, Abuja"
3 bedroom terraced duplex for rent,"₦7,000,000","Sunnyvale Road Axis, Lokogoma District, Abuja"
3 bedroom flat / apartment for rent,"₦7,000,000","Garki, Abuja"
3 bedroom flat / apartment for rent,"₦10,000,000","Zone 6, Wuse, Abuja"
4 bedroom terraced duplex for rent,"₦20,000,000","Galadimawa, Abuja"
Office space for rent,"₦24,300,000","Wuse 2, Abuja"
2 bedroom flat / apartment for rent,"₦6,500,000","By Living Faith, Jahi, Abuja"
2 bedroom flat / apartment for rent,"$32,500","Maitama District, Abuja"
3 bedroom house for rent,"$35,000","Maitama District, Abuja"
Office space for rent,"₦70,000,000","Wuse, Abuja"
2 bedroom flat / apartment for rent,"₦3,000,000","F01 Layout, Before Military Pension Board, FO1 Layout, Kubwa, Abuja"
3 bedroom flat / apartment for rent,"₦8,500,000","Utako, Abuja"
4 bedroom terraced duplex for rent,"₦15,000,000","Mabushi, Abuja"
1 bedroom flat / apartment for rent,"₦9,000,000","Maitama District, Abuja"
4 bedroom terraced duplex for rent,"₦18,000,000","Jahi, Abuja"
4 bedroom semi-detached duplex for rent,"₦12,000,000","Galadimawa, Abuja"
3 bedroom flat / apartment for rent,"₦7,500,000","Kukwaba, Abuja"
3 bedroom flat / apartment for rent,"₦10,000,000","Off Mike Akhigbe Street, Jabi, Abuja"
4 bedroom detached duplex for rent,"₦18,000,000","O'brien Homes, Mabushi, Abuja"
2 bedroom flat / apartment for rent,"₦7,500,000","Garden Estate, Kukwaba, Abuja"
3 bedroom flat / apartment for rent,"₦45,000,000","Maitama District, Abuja"
3 bedroom terraced duplex for rent,"$40,000","Maitama District, Abuja"
5 bedroom detached duplex for rent,"₦45,000,000","Wuse 2, Abuja"
5 bedroom semi-detached duplex for rent,"₦50,000,000","Maitama District, Abuja"
Office space for rent,"₦80,000,000","Wuse, Abuja"
2 bedroom flat / apartment for rent,"₦8,000,000","Jahi, Abuja"
5 bedroom detached duplex for rent,"₦90,000,000","Maitama District, Abuja"
4 bedroom terraced duplex for rent,"₦65,000,000","Maitama District, Abuja"
4 bedroom terraced duplex for rent,"₦16,000,000","Jahi, Abuja"
2 bedroom flat / apartment for rent,"₦6,500,000","Jahi, Abuja"
5 bedroom terraced duplex for rent,"₦17,000,000","Katampe Extension, Katampe, Abuja"
4 bedroom terraced duplex for rent,"₦15,000,000","Mabushi District, Mabushi, Abuja"
2 bedroom semi-detached bungalow for rent,"₦3,500,000","Efab, Lokogoma District, Abuja"
1 bedroom flat / apartment for rent,"₦12,000,000","Wuse 2, Abuja"
1 bedroom flat / apartment for rent,"₦9,000,000","Maitama District, Abuja"
3 bedroom flat / apartment for rent,"₦7,000,000","Jahi, Abuja"
3 bedroom flat / apartment for rent,"₦13,000,000","Wuse 2, Abuja"
4 bedroom semi-detached duplex for rent,"₦13,000,000","Utako, Abuja"
2 bedroom semi-detached duplex for rent,"₦4,500,000","Estate Off Von Road, Lugbe District, Abuja"
2 bedroom house for rent,"₦7,000,000","After Wonderland Estate, Kukwaba, Abuja"
3 bedroom flat / apartment for rent,"₦20,000,000","Jahi, Abuja"
3 bedroom flat / apartment for rent,"₦10,000,000","Guzape District, Abuja"
3 bedroom flat / apartment for rent,"₦11,000,000","Ademola Adetokumbo, Wuse 2, Abuja"
1 bedroom flat / apartment for rent,"₦1,650,000","Scc Layout Ushafa, Ushafa, Bwari, Abuja"
Plaza / complex / mall for rent,"₦7,500,000","Garki By Dubai Mall, Garki, Abuja"
2 bedroom semi-detached duplex for rent,"₦5,000,000","The Promenade Estate, Lokogoma District, Abuja"
4 bedroom semi-detached duplex for rent,"₦9,000,000","Lokogoma, Lokogoma District, Abuja"
4 bedroom semi-detached duplex for rent,"₦15,000,000","Dakibiyu, Jabi, Abuja"
4 bedroom terraced duplex for rent,"₦16,000,000","Katampe Extension, Katampe, Abuja"
6 bedroom flat / apartment for rent,"₦20,000,000","Diplomatic Zone, Katampe Extension, Katampe, Abuja"
Plaza / complex / mall for rent,"₦3,500,000","Gwarinpa, Abuja"
2 bedroom flat / apartment for rent,"₦5,000,000","Off Jahi/katampe Road, Katampe, Abuja"
5 bedroom semi-detached duplex for rent,"₦30,000,000","Wuse 2, Abuja"
2 bedroom flat / apartment for rent,"₦11,000,000","Jahi, Abuja"
2 bedroom flat / apartment for rent,"₦6,000,000","Mabushi, Abuja"
1 bedroom flat / apartment for rent,"₦6,000,000","Maitama District, Abuja"
1 bedroom flat / apartment for rent,"₦6,500,000","Jahi, Abuja"
Shop for rent,"₦3,000,000","Gudu, Abuja"
2 bedroom flat / apartment for rent,"₦5,000,000","Jahi, Abuja"
Office space for rent,"₦2,000,000","2nd Avenue, Gwarinpa, Abuja"
1 bedroom mini flat (room and parlour) for rent,"₦4,000,000","3rd Avenue, Gwarinpa, Abuja"
4 bedroom terraced duplex for rent,"₦18,000,000","Jahi, Abuja"
6 bedroom semi-detached duplex for rent,"₦25,000,000","Durumi, Abuja"
4 bedroom terraced duplex for rent,"₦25,000,000","Guzape District, Abuja"
2 bedroom flat / apartment for rent,"₦6,000,000","By Mobil, Mabushi, Abuja"
5 bedroom house for rent,"₦90,000,000","Maitama District, Abuja"
3 bedroom flat / apartment for rent,"₦7,000,000","Katampe, Abuja"
2 bedroom flat / apartment for rent,"₦6,200,000","Apo Resettlement, Apo, Abuja"
6 bedroom semi-detached duplex for rent,"₦25,000,000","Katampe (Main), Katampe, Abuja"
1 bedroom mini flat (room and parlour) for rent,"₦3,000,000","Jahi, Abuja"
4 bedroom detached duplex for rent,"₦10,000,000","Life Camp, Abuja"
1 bedroom flat / apartment for rent,"₦6,000,000","Guzape District, Abuja"
3 bedroom flat / apartment for rent,"₦25,000,000","Asokoro District, Abuja"
