Property Type,Price (Per Annum),Location
5 bedroom detached duplex for rent,"₦100,000,000","Maitama District, Abuja"
4 bedroom semi-detached duplex for rent,"₦17,000,000","Mabushi, Abuja"
Self contain (single rooms) for rent,"₦2,000,000","By Gig Logistics, Wuye, Abuja"
4 bedroom terraced duplex for rent,"₦1,800,000,000","Guzape District, Abuja"
3 bedroom detached bungalow for rent,"₦12,000,000","Lifecamp Roundabout Junction, Life Camp, Abuja"
4 bedroom detached duplex for rent,"₦25,000,000","Mabushi, Abuja"
6 bedroom terraced duplex for rent,"₦25,000,000","Katampe (Main), Katampe, Abuja"
3 bedroom flat / apartment for rent,"₦40,000,000","Maitama District, Abuja"
4 bedroom terraced duplex for rent,"₦15,000,000","Katampe (Main), Katampe, Abuja"
4 bedroom terraced duplex for rent,"₦7,500,000","Galadimawa, Abuja"
4 bedroom terraced duplex for rent,"₦13,000,000","By Lake View Estate, Kado, Abuja"
4 bedroom terraced duplex for rent,"₦25,000,000","Wuye, Abuja"
2 bedroom flat / apartment for rent,"₦6,000,000","Mabushi, Abuja"
1 bedroom flat / apartment for rent,"₦9,000,000","Maitama District, Abuja"
3 bedroom flat / apartment for rent,"₦7,500,000","Wuse, Abuja"
Office space for rent,"₦15,000,000","Wuse 2, Abuja"
Self contain (single rooms) for rent,"₦1,000,000","Along Von Estate, Lugbe District, Abuja"
8 bedroom detached duplex for rent,"₦50,000,000","Wuse, Abuja"
1 bedroom mini flat (room and parlour) for rent,"₦1,700,000","Along Von Road, Lugbe District, Abuja"
3 bedroom flat / apartment for rent,"₦25,000,000","Maitama District, Abuja"
3 bedroom flat / apartment for rent,"₦25,000,000","Jabi, Abuja"
1 bedroom mini flat (room and parlour) for rent,"₦4,000,000","Naf Valley Estate, Asokoro District, Abuja"
3 bedroom flat / apartment for rent,"₦13,000,000","Off Ademola Adetokinbo, Wuse 2, Abuja"
4 bedroom terraced duplex for rent,"₦30,000,000","Guzape District, Abuja"
2 bedroom flat / apartment for rent,"₦4,500,000","Life Camp, Abuja"
4 bedroom semi-detached duplex for rent,"₦8,000,000","Life Camp, Abuja"
Office space for rent,"₦1,200,000,000","Wuse, Abuja"
3 bedroom flat / apartment for rent,"₦11,000,000","Katampe, Abuja"
2 bedroom flat / apartment for rent,"₦4,000,000","News Engineering, Dawaki, Gwarinpa, Abuja"
Office space for rent,"₦8,000,000","Wuse 2, Abuja"
1 bedroom flat / apartment for rent,"₦4,000,000","Wuse, Abuja"
4 bedroom detached duplex for rent,"₦45,000,000","Asokoro Residential, Asokoro District, Abuja"
1 bedroom flat / apartment for rent,"₦5,000,000","Katampe (Main), Katampe, Abuja"
4 bedroom terraced duplex for rent,"₦8,000,000","Jabi, Abuja"
1 bedroom flat / apartment for rent,"₦6,000,000","Maitama District, Abuja"
3 bedroom flat / apartment for rent,"₦25,000,000","Maitama District, Abuja"
3 bedroom flat / apartment for rent,"₦7,000,000","Off Gudu Junction, Gudu, Abuja"
